time_sec,run_id,env,seed,variant,stage,report_file,baseline_graph_role,phase,event,gate,evidence_class,embeddings_path,graph_path,boundary_path,boundary_loaded,reachability_path,reachability_loaded,embeddings_shape,graph_nodes,graph_edges,dataset_realigned_local_npz,dataset_realign_reason,dataset_size_before_realign,dataset_size_after_realign,dataset_size,num_trajectories,obs_dim,action_dim,traj_len_mean,traj_len_p10,traj_len_p90,base_graph_nodes,base_graph_edges,seed_for_audit,graph_id,num_nodes,num_edges,protected_nodes,endpoint_exact_retention_rate,cross_edge_rate,temporal_supported_edge_rate,unsupported_shortcut_edge_rate,support_count_positive_rate,support_score_mean,support_score_p50,support_score_p90,support_risk_mean,execution_risk_mean,edge_type_TEMPORAL_BACKBONE_count,edge_type_TEMPORAL_BACKBONE_rate,edge_type_PROJECTED_TEMPORAL_SUPPORT_count,edge_type_PROJECTED_TEMPORAL_SUPPORT_rate,edge_type_SUPPORTED_CROSS_BRIDGE_count,edge_type_SUPPORTED_CROSS_BRIDGE_rate,edge_type_CROSS_TRAJ_CANDIDATE_count,edge_type_CROSS_TRAJ_CANDIDATE_rate,edge_type_UNSUPPORTED_SHORTCUT_count,edge_type_UNSUPPORTED_SHORTCUT_rate,base_nodes,endpoint_candidates,trajectory_anchor_candidates,projection_change_candidates,bottleneck_candidates,protected_candidates,stage29_nodes,projected_support_segments,projected_support_edges,unsupported_shortcut_edges,edge_type,count,rate,num_pairs,num_future_pairs,num_cross_pairs,planner_id,pair_id,pair_type,start_index,goal_index,true_dt,data_supported,start_node,goal_node,unsupported_edges,support_risk,cross_support_risk,found,num_subgoals,total_cost,total_risk,total_boundary,exec_cost,exec_budget,objective,path_cross_edge_rate,path_temporal_kind_rate,path_bridge_kind_rate,path_largest_edge_cost_ratio,path_min_p_exec,path_mean_p_exec,path_mean_risk,failure_label,execution_risk,path_temporal_backbone_rate,path_projected_support_rate,path_supported_bridge_rate,path_candidate_rate,path_unsupported_shortcut_rate,path_min_support_score,path_mean_support_score,path_mean_execution_risk,path_max_execution_risk,path_temporal_dt_mean,path_temporal_dt_max
1780359932.0950885,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k2_r1,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k2_r1,47,future_same_traj,320055,320198,143,1,12459,27,0,1.0,1.0,1,4,3.281877040863037,1.5789152383804321,0.0,1.0,1.0,3.2818769812583923,0.8,,,0.304703676447619,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.5611578226089478,0.0,0.0,100.0,100.0
1780359932.0959902,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k2_r2,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k2_r2,47,future_same_traj,320055,320198,143,1,12459,27,0,1.0,1.0,1,4,3.281877040863037,1.5789152383804321,0.0,1.0,2.0,3.2818769812583923,0.8,,,0.304703676447619,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.5611578226089478,0.0,0.0,100.0,100.0
1780359932.0969014,seed44_gas_cache,antmaze-medium-stitch-v0,44,reachability,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,base_cached,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,base_cached_path_probe,,,,,,,,,,,,,,,,,,,,,,,,base_cached,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_reachability,48,future_same_traj,371636,371717,81,1,675,1198,0,nan,nan,1,4,4.62393856048584,0.0,0.0,0.0,nan,4.623939037322998,1.0,0.0,0.0,0.26212001276257585,1.0,1.0,0.0,BASE_USES_CROSS_TRAJ_SHORTCUT_FOR_SUPPORTED_PAIR,,,,,,,,,,,,
1780359932.0977814,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_lexicographic,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_lexicographic,48,future_same_traj,371636,371717,81,1,9914,5925,0,0.75,0.75,1,3,3.9927728176116943,1.1385934352874756,0.0,0.75,nan,3.992772698402405,0.75,,,0.39569683421466045,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5348066687583923,0.0,0.0,80.0,80.0
1780359932.0986574,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_lexicographic,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_failure_taxonomy_proxy,stage29_default,PASS_STAGE29_FAILURE_TAXONOMY_DELTA,failure_taxonomy_proxy,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_lexicographic,48,future_same_traj,371636,371717,81,1,9914,5925,0,0.75,0.75,1,3,3.9927728176116943,1.1385934352874756,0.0,0.75,nan,3.992772698402405,0.75,,,0.39569683421466045,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5348066687583923,0.0,0.0,80.0,80.0
1780359932.09955,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k0_r0,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k0_r0,48,future_same_traj,371636,371717,81,1,9914,5925,0,inf,inf,0,0,inf,inf,0.0,inf,0.0,inf,nan,,,nan,,,,BASE_LOST_SUPPORTED_PATH_OR_EDGE_PRUNING,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1780359932.1004314,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k0_r0.5,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k0_r0.5,48,future_same_traj,371636,371717,81,1,9914,5925,0,inf,inf,0,0,inf,inf,0.0,inf,0.5,inf,nan,,,nan,,,,BASE_LOST_SUPPORTED_PATH_OR_EDGE_PRUNING,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1780359932.1013803,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k0_r1,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k0_r1,48,future_same_traj,371636,371717,81,1,9914,5925,0,1.0,1.0,1,4,3.978081464767456,1.3417561054229736,0.0,1.0,1.0,3.978081524372101,0.8,,,0.2558221218063847,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.6043106317520142,0.0,0.0,80.0,80.0
1780359932.1022358,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k0_r2,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k0_r2,48,future_same_traj,371636,371717,81,1,9914,5925,0,1.0,1.0,1,4,3.978081464767456,1.3417561054229736,0.0,1.0,2.0,3.978081524372101,0.8,,,0.2558221218063847,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.6043106317520142,0.0,0.0,80.0,80.0
1780359932.103089,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k1_r0,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k1_r0,48,future_same_traj,371636,371717,81,1,9914,5925,0,inf,inf,0,0,inf,inf,0.0,inf,0.0,inf,nan,,,nan,,,,BASE_LOST_SUPPORTED_PATH_OR_EDGE_PRUNING,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1780359932.1040008,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k1_r0.5,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k1_r0.5,48,future_same_traj,371636,371717,81,1,9914,5925,0,inf,inf,0,0,inf,inf,0.0,inf,0.5,inf,nan,,,nan,,,,BASE_LOST_SUPPORTED_PATH_OR_EDGE_PRUNING,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1780359932.1049027,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k1_r1,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k1_r1,48,future_same_traj,371636,371717,81,1,9914,5925,0,1.0,1.0,1,4,3.978081464767456,1.3417561054229736,0.0,1.0,1.0,3.978081524372101,0.8,,,0.2558221218063847,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.6043106317520142,0.0,0.0,80.0,80.0
1780359932.1057775,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k1_r2,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k1_r2,48,future_same_traj,371636,371717,81,1,9914,5925,0,1.0,1.0,1,4,3.978081464767456,1.3417561054229736,0.0,1.0,2.0,3.978081524372101,0.8,,,0.2558221218063847,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.6043106317520142,0.0,0.0,80.0,80.0
1780359932.1066473,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k2_r0,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k2_r0,48,future_same_traj,371636,371717,81,1,9914,5925,0,inf,inf,0,0,inf,inf,0.0,inf,0.0,inf,nan,,,nan,,,,BASE_LOST_SUPPORTED_PATH_OR_EDGE_PRUNING,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1780359932.107515,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k2_r0.5,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k2_r0.5,48,future_same_traj,371636,371717,81,1,9914,5925,0,inf,inf,0,0,inf,inf,0.0,inf,0.5,inf,nan,,,nan,,,,BASE_LOST_SUPPORTED_PATH_OR_EDGE_PRUNING,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1780359932.108347,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k2_r1,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k2_r1,48,future_same_traj,371636,371717,81,1,9914,5925,0,1.0,1.0,1,4,3.978081464767456,1.3417561054229736,0.0,1.0,1.0,3.978081524372101,0.8,,,0.2558221218063847,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.6043106317520142,0.0,0.0,80.0,80.0
1780359932.1092432,seed44_gas_cache,antmaze-medium-stitch-v0,44,stage29_budgeted_k2_r2,stage29_support_calibrated_graph,runs_stage29g_bridge_friendly_offline_smoke/antmaze-medium-stitch-v0/full_bars/seed44_default/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,stage29_support_calibrated,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,support_constrained_path_probe,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage29_budgeted_k2_r2,48,future_same_traj,371636,371717,81,1,9914,5925,0,1.0,1.0,1,4,3.978081464767456,1.3417561054229736,0.0,1.0,2.0,3.978081524372101,0.8,,,0.2558221218063847,,,,GRAPH_PATH_EXISTS_EXECUTION_PROBE_NEEDED,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.6043106317520142,0.0,0.0,80.0,80.0
