edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,transfer_edge_policy_support_score,transfer_edge_proxy_score
1909,6538,474,428,4.232700753707026,low_compatibility_junction,0.018110944734265406,3,0.1703990546784914,0.6961299720119037,0.2505158290517718,0.0
1910,3936,284,474,4.226482518504053,low_compatibility_junction,0.040985008352436125,19,0.1320165263433058,0.44056373022814316,0.2505158290517718,0.0
1911,1940,145,474,4.211165895846417,low_compatibility_junction,0.03710229003336281,20,0.12152152877435317,0.47613883330631135,0.2505158290517718,0.0
1912,6537,474,424,4.207776750890882,low_compatibility_junction,0.016103711009592465,23,0.06796641278467248,0.7246444050871841,0.2505158290517718,0.0
1913,5553,404,421,3.8966203680592577,low_compatibility_junction,0.020099539221099923,345,0.0350598141422134,0.6689869107629975,0.0076195940568684,0.0
1914,2976,219,404,3.879667084679372,low_compatibility_junction,0.006889979313221364,261,0.016960334222875892,0.8712732893839616,0.0076195940568684,0.0
1915,5899,427,404,3.860640914244901,low_compatibility_junction,0.00749154317475874,199,0.019517376394285996,0.8608535658757638,0.0076195940568684,0.0
1916,5547,404,345,3.8449903533175154,low_compatibility_junction,0.021770938182242155,124,0.047741646887482204,0.6469936729120834,0.0076195940568684,0.0
1917,307,18,404,3.840811816864981,low_compatibility_junction,0.006286783724824346,103,0.021599481786086783,0.8818479108727311,0.0076195940568684,0.0
1918,5539,404,242,3.8196285216251056,low_compatibility_junction,0.03777678846786432,133,0.070809389199776,0.4697588648915128,0.0076195940568684,0.0
1919,15,0,404,3.815493959042113,low_compatibility_junction,0.004267691074089859,85,0.01815579941528407,0.9181873525112728,0.0076195940568684,0.0
1920,5557,404,482,3.805389081624957,low_compatibility_junction,0.023557223862685803,117,0.0513687739430191,0.6242873765698145,0.0076195940568684,0.0
1921,2054,153,404,3.803042043979397,low_compatibility_junction,0.002753380923033027,28,0.022189529271924874,0.9464211502484787,0.0076195940568684,0.0
1922,5146,372,404,3.80148468256158,low_compatibility_junction,0.00891756313470772,53,0.03434140818121727,0.8366484884654677,0.0076195940568684,0.0
1923,5533,404,119,3.801153387823113,low_compatibility_junction,0.023609198394786708,26,0.08267145256307042,0.6236387728510917,0.0076195940568684,0.0
1924,5528,404,18,3.800118053987093,low_compatibility_junction,0.013575537150482769,69,0.04106777149994969,0.7622270948110146,0.0076195940568684,0.0
1925,5542,404,308,3.791789249460494,low_compatibility_junction,0.025509699187805934,66,0.06404304963865315,0.6003791037218583,0.0076195940568684,0.0
1926,936,69,404,3.78616630121764,low_compatibility_junction,0.006115334995019321,39,0.030658688012802856,0.8848769352125894,0.0076195940568684,0.0
1927,895,66,404,3.7813373003775688,low_compatibility_junction,0.011581311702460358,73,0.036268607263929595,0.7932425549629678,0.0076195940568684,0.0
1928,5554,404,425,3.7796651527554768,low_compatibility_junction,0.02074294125837884,58,0.0578090711499817,0.6604335107141643,0.0076195940568684,0.0
1929,4661,334,404,3.778328314126648,low_compatibility_junction,0.008968803375451402,11,0.06493515288131244,0.8357915262506338,0.0076195940568684,0.0
1930,2397,174,404,3.776860604790568,low_compatibility_junction,0.010697862028326021,82,0.03308495183146633,0.8073829075203217,0.0076195940568684,0.0
1931,5795,421,404,3.758674734825908,low_compatibility_junction,0.006353974886587821,20,0.04128922207643591,0.8806636590508999,0.0076195940568684,0.0
1932,5548,404,372,3.736942926877937,low_compatibility_junction,0.011165379222030893,33,0.04721791698810722,0.7998687842610317,0.0076195940568684,0.0
1933,5526,404,0,3.7329906575999474,low_compatibility_junction,0.03750202748587502,38,0.09907521645420712,0.47234739879909055,0.0076195940568684,0.0
1934,5546,404,334,3.7192396176667226,low_compatibility_junction,0.043149656859565184,22,0.1299523908424053,0.4218973937885317,0.0076195940568684,0.0
1935,1705,130,151,3.71674316971508,low_compatibility_junction,0.008595002295933738,498,0.016737626624979872,0.8420633366294196,0.0041928358816501,0.0
1936,5538,404,232,3.692842371810956,low_compatibility_junction,0.014694750395224051,27,0.060419916947496585,0.7453547436917283,0.0076195940568684,0.0
1937,2023,151,231,3.689640883823541,low_compatibility_junction,0.017495290980517313,238,0.03429989091984406,0.7047544606429582,0.0041928358816501,0.0
1938,5534,404,153,3.683991024639061,low_compatibility_junction,0.049943041522055864,13,0.17142782635954068,0.36829875702274456,0.0076195940568684,0.0
1939,5469,397,404,3.66449761726321,low_compatibility_junction,0.007836336011273993,9,0.06567141612025491,0.8549376640685015,0.0076195940568684,0.0
1940,3037,226,404,3.6605868754402815,low_compatibility_junction,0.012836862076073884,10,0.083060853241092,0.7735714495204252,0.0076195940568684,0.0
