graph_type,query_id,src,dst,reachable,path_length,path_cost,unsupported_edge_fraction,incompatible_edge_fraction,bottleneck_edge_fraction,mean_edge_proxy_score,min_edge_proxy_score,proxy_path_success,uses_unsupported_shortcut,path_nodes
support_graph,88,391,448,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,89,117,197,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,90,494,172,True,3,9.734616314799982,0.0,1.0,0.6666666666666666,0.16503503158479513,0.0,0.0,False,494 311 171 172
support_graph,91,152,246,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,92,7,349,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,93,478,261,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,94,436,332,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,95,440,117,True,3,10.562948828843115,0.0,1.0,0.0,0.11190134520953755,0.0,0.0,False,440 263 405 117
support_graph,96,230,129,True,3,10.351615044897493,0.0,0.5,1.0,0.32200984123063287,0.3002909268320483,0.033270457289533074,False,230 22 179 129
support_graph,97,287,349,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,98,287,249,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
support_graph,99,390,467,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,0,229,404,True,3,9.577350269189626,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,True,229 279 316 404
kNN_graph,1,7,380,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,2,401,477,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,3,315,106,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,4,428,224,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,5,327,27,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
kNN_graph,6,55,461,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,
