segment_source,segment_edge_id,planner_edge_id,src,dst,num_policy_mse_samples,min_preplan_policy_action_mse,median_preplan_policy_action_mse,mean_preplan_policy_action_mse,episode_id,replan_index,current_cluster
bank,111,111,21,0,32,0.017877057194709778,0.2584061399102211,0.40138577681500465,1,5,21
bank,112,112,21,1,32,0.012898487970232964,0.19284597039222717,0.2472990317037329,1,5,21
bank,113,113,21,2,32,0.032498229295015335,0.1954244300723076,0.32470710028428584,1,5,21
bank,114,114,21,20,32,0.014433765783905983,0.15606819838285446,0.25404605019139126,1,5,21
bank,115,115,21,22,32,0.039331354200839996,0.13079674169421196,0.24564505193848163,1,5,21
bank,116,116,21,40,32,0.011186877265572548,0.15990585833787918,0.4569500182988122,1,5,21
bank,117,117,21,41,32,0.03829202055931091,0.23170537501573563,0.502955513773486,1,5,21
graph,102,102,41,81,5,0.061936020851135254,0.13594166934490204,0.19928194284439088,1,6,41
bank,229,229,41,20,32,0.015307467430830002,0.3476937711238861,0.5183998022694141,1,6,41
bank,230,230,41,21,32,0.014841493219137192,0.42297573387622833,0.633430999063421,1,6,41
bank,231,231,41,40,32,0.023370321840047836,0.19465208053588867,0.3664712905883789,1,6,41
bank,232,232,41,42,17,0.01311744935810566,0.09607000648975372,0.3432190355790012,1,6,41
bank,233,233,41,60,32,0.04085841402411461,0.3754010796546936,0.49970774084795266,1,6,41
bank,234,234,41,61,32,0.046350765973329544,0.22774627804756165,0.29234633687883615,1,6,41
bank,235,235,41,81,5,0.061936020851135254,0.13594166934490204,0.19928194284439088,1,6,41
graph,102,102,41,81,5,0.061936020851135254,0.13594166934490204,0.19928194284439088,1,7,41
bank,229,229,41,20,32,0.015307467430830002,0.3476937711238861,0.5183998022694141,1,7,41
bank,230,230,41,21,32,0.014841493219137192,0.42297573387622833,0.633430999063421,1,7,41
bank,231,231,41,40,32,0.023370321840047836,0.19465208053588867,0.3664712905883789,1,7,41
bank,232,232,41,42,17,0.01311744935810566,0.09607000648975372,0.3432190355790012,1,7,41
bank,233,233,41,60,32,0.04085841402411461,0.3754010796546936,0.49970774084795266,1,7,41
bank,234,234,41,61,32,0.046350765973329544,0.22774627804756165,0.29234633687883615,1,7,41
bank,235,235,41,81,5,0.061936020851135254,0.13594166934490204,0.19928194284439088,1,7,41
graph,102,102,41,81,5,0.061936020851135254,0.13594166934490204,0.19928194284439088,1,8,41
bank,229,229,41,20,32,0.015307467430830002,0.3476937711238861,0.5183998022694141,1,8,41
