group_type,group_value,num_edges,mean_loss_weight,median_loss_weight,max_loss_weight,mean_planner_usage_count,method
bottleneck_group,low_bottleneck,1625,0.9624183749862014,0.93478047135976,1.4591863678965673,0.07076923076923076,planner_relevant_repair_s02
horizon_group,long_horizon,1378,1.0349192623845476,1.0007030754959678,1.9,0.0602322206095791,planner_relevant_repair_s02
horizon_group,short_horizon,1865,0.9741084762155763,0.9154253473008391,1.9,0.0997319034852547,planner_relevant_repair_s02
compatibility_group,unknown,3243,0.9999479037027309,0.952226385101246,1.9,0.08294788775824853,planner_relevant_repair_s02
planner_usage_group,not_planner_used,3024,1.0018487223293484,0.9557594519594816,1.9,0.0,planner_relevant_repair_s02
planner_usage_group,planner_used,219,0.9737009834886136,0.9137343068364681,1.8852401174680764,1.2283105022831051,planner_relevant_repair_s02
loss_weight_reason,base_support_bottleneck,2743,0.9804538954526403,0.9403421012574514,1.7848507239768403,0.06926722566532993,planner_relevant_repair_s02
loss_weight_reason,hard_repair,443,1.1068351903222011,1.0488970134410627,1.9,0.0,planner_relevant_repair_s02
loss_weight_reason,planner_used_repair,57,1.1073338099759433,1.0340631730617347,1.8852401174680764,1.3859649122807018,planner_relevant_repair_s02
support_group,high_support,1610,0.8590574672343776,0.8506105012471485,1.2345333888782906,0.115527950310559,planner_relevant_repair_s01
support_group,low_support,1633,1.1407044870475804,1.0902379968290787,1.7,0.050826699326393145,planner_relevant_repair_s01
bottleneck_group,high_bottleneck,1618,1.0359282207230331,0.9746619641658343,1.7,0.09517923362175525,planner_relevant_repair_s01
bottleneck_group,low_bottleneck,1625,0.9659822082868795,0.9360798500470903,1.4176766602496027,0.07076923076923076,planner_relevant_repair_s01
horizon_group,long_horizon,1378,1.0349120451029152,1.001591774774158,1.7,0.0602322206095791,planner_relevant_repair_s01
horizon_group,short_horizon,1865,0.975734129460713,0.9155119528830419,1.7,0.0997319034852547,planner_relevant_repair_s01
compatibility_group,unknown,3243,1.000879725438189,0.9532307845622092,1.7,0.08294788775824853,planner_relevant_repair_s01
planner_usage_group,not_planner_used,3024,1.003710735815867,0.9575160953205236,1.7,0.0,planner_relevant_repair_s01
planner_usage_group,planner_used,219,0.961788513647787,0.9034176045436842,1.7,1.2283105022831051,planner_relevant_repair_s01
loss_weight_reason,base_support_bottleneck,2743,0.987104686707412,0.9451475774840207,1.7,0.06926722566532993,planner_relevant_repair_s01
loss_weight_reason,hard_repair,443,1.0811788270916838,1.0263392163140348,1.7,0.0,planner_relevant_repair_s01
loss_weight_reason,planner_used_repair,57,1.0396942729122796,0.9640915608343509,1.7,1.3859649122807018,planner_relevant_repair_s01
