H,all_num_queries,bottleneck_removal_delta_cost,bottleneck_removal_delta_coverage,cluster_compatible_rate,dataset_name,graph_reachable_pair_ratio_sampled,lcb_compatible_rate,mean_compatibility_support_rate,mean_num_bridge_segments,mean_num_segments_per_edge,mean_num_unique_episodes_per_edge,mean_num_unique_starts_per_edge,mean_num_virtual_edges_used,mean_option_cost,mean_option_median_h,mean_virtual_edge_ratio,median_num_bridge_segments,median_num_virtual_edges_used,median_option_cost,node_budget,node_selection,num_edge_segments,num_option_edges,num_selected_nodes,strict_compatible_rate,strict_coverage_over_all,strict_mean_path_cost,strict_num_queries,strict_num_reachable,strict_path_coverage,strict_query_selection_rate,support_baseline,support_unit,virtual_mean_path_cost,virtual_num_queries,virtual_num_reachable,virtual_path_coverage,cost_type
10,100,2.3610264931065075,0.0,1.0,scene-play-v0,0.9831349206349206,0.3448942940781736,1.0211381998141733,156.45171421093954,155.43803418803418,9.88034188034188,43.92307692307692,1.81,6.975575665870688,6.700854700854701,0.7221904761904763,0.0,2.0,7.092460165263427,64,bottleneck,72745,468,64,0.3601151531012824,0.01,23.28763111298605,1,1,1.0,0.01,support_bottleneck,unique_starts,24.27028976377613,100,93,0.93,
10,100,1.4421709207749487,0.0,1.0,scene-play-v0,0.9833829365079365,0.328185352385277,1.0230437080887955,182.334595003785,158.3203125,8.9921875,44.25,1.73,7.143669208390648,6.8671875,0.6655000000000001,0.0,2.0,7.196116135138184,64,core_plus_bottleneck,60795,384,64,0.34632853898561694,0.01,21.68910254953006,1,1,1.0,0.01,support_core_plus_bottleneck,unique_starts,25.44901032775025,100,89,0.89,
10,100,1.1413226198060933,0.15999999999999992,1.0,scene-play-v0,0.911,0.3001901187934122,0.883220738917358,109.54591818573088,104.83082229079687,7.966963151207116,32.93737520421129,1.95,7.07728715734538,6.787166454891995,0.889,0.0,2.0,7.192450089729875,64,all,1155026,11018,512,0.3018086383597019,0.95,14.62478880591475,100,95,0.95,1.0,support_all_upper_bound,unique_starts,20.645228321929483,100,100,1.0,
10,100,2.8967423399639145,0.0,1.0,scene-play-v0,0.972,0.3606110288053245,1.4343296590663988,292.92643293283436,177.70510396975425,8.675803402646503,46.40359168241966,1.85,7.348767876545653,7.091682419659735,0.7066666666666669,0.0,2.0,7.208514414057075,128,density,188012,1058,128,0.37000196966712623,0.05,19.280748805997725,5,5,1.0,0.05,support_density,unique_starts,24.903165319256047,100,95,0.95,default
10,100,0.9967095467387708,0.0,1.0,scene-play-v0,0.9756,0.3203651728140473,0.969106089453492,146.7305449330784,134.912930474334,8.732293697205979,38.74528914879792,1.95,7.076038506843935,6.795971410006498,0.7980000000000002,0.0,2.0,7.147441956154897,128,bottleneck,207631,1539,128,0.3267208413001912,0.09,16.99706436857665,9,9,1.0,0.09,support_bottleneck,unique_starts,22.596601351193044,100,100,1.0,default
10,100,0.42520204890743685,0.0,1.0,scene-play-v0,0.9864,0.31908774263117384,1.0848243688418922,190.73090407494684,146.64668094218416,8.490364025695932,40.93219129193433,1.95,7.095691516422218,6.821556031406138,0.7946666666666666,0.0,2.0,7.147441956154897,128,core_plus_bottleneck,205452,1401,128,0.3260532214495086,0.08,17.44557905276934,8,8,1.0,0.08,support_core_plus_bottleneck,unique_starts,22.892708368503133,100,100,1.0,default
10,100,1.1413226198060933,0.15999999999999992,1.0,scene-play-v0,0.911,0.3001901187934122,0.883220738917358,109.54591818573088,104.83082229079687,7.966963151207116,32.93737520421129,1.95,7.07728715734538,6.787166454891995,0.889,0.0,2.0,7.192450089729875,128,all,1155026,11018,512,0.3018086383597019,0.95,14.62478880591475,100,95,0.95,1.0,support_all_upper_bound,unique_starts,20.645228321929483,100,100,1.0,default
10,100,0.5552937847351664,0.05882352941176472,1.0,scene-play-v0,0.9936,0.3315239307268558,1.2662532404205318,243.995064754397,163.37335749886725,8.15677390122338,43.255550521069324,1.91,7.202010602614398,6.937245129134572,0.764,0.0,2.0,7.171498585142508,192,density,360565,2207,192,0.33685535424464247,0.17,16.981324822556505,17,17,1.0,0.17,support_density,unique_starts,22.93098088850747,100,98,0.98,default
10,100,1.0144497627523812,0.15384615384615385,1.0,scene-play-v0,1.0,0.31766811049570537,0.9972636495522761,160.10226429101706,136.25457746478872,8.659154929577465,39.13943661971831,1.95,7.1482095990755115,6.869366197183099,0.8366666666666669,0.0,2.0,7.187338787340833,192,bottleneck,386963,2840,192,0.321826280623608,0.13,16.511331670446417,13,13,1.0,0.13,support_bottleneck,unique_starts,21.695669481245858,100,100,1.0,default
10,100,0.9168418971580543,0.125,1.0,scene-play-v0,1.0,0.307049980923785,0.9844419675569671,156.52900594437455,134.0258840685381,8.200145825738243,38.160772876412686,1.95,7.1581275345216095,6.8765949690120305,0.8146666666666669,0.0,2.0,7.188982236504613,192,core_plus_bottleneck,367633,2743,192,0.3112769557860025,0.16,16.543601650734253,16,16,1.0,0.16,support_core_plus_bottleneck,unique_starts,22.063794995531083,100,100,1.0,default
