baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
support_core_plus_bottleneck,core_plus_bottleneck,25,64,857,0.0,1.0,1.0,27.41300507250067,47.97139114206688,,1,1,100.0,100.0
kNN_same_nodes,core_plus_bottleneck,25,64,234,0.4358974358974359,1.0,,,,6.0,1,1,,
random_same_edge_budget,core_plus_bottleneck,25,64,857,0.73512252042007,1.0,,,,2.0,1,1,,
support_all_upper_bound,all,25,64,24836,0.0,0.95,1.0,18.694000406689085,47.19083376958257,,100,95,100.0,100.0
kNN_same_nodes,all,25,64,24836,0.6121356095989693,0.99,,,,2.585858585858586,100,99,,
random_same_edge_budget,all,25,64,24836,0.8622161378643904,1.0,,,,1.97,100,100,,
support_density,density,25,128,2151,0.0,1.0,0.96,26.445018050964233,48.12259358538798,,5,5,100.0,96.0
kNN_same_nodes,density,25,128,905,0.49392265193370166,0.8,,,,3.5,5,4,,
random_same_edge_budget,density,25,128,2151,0.8303114830311483,1.0,,,,1.8,5,5,,
support_bottleneck,bottleneck,25,128,3205,0.0,1.0,1.0,26.982852430712178,47.49255983775158,,8,8,100.0,100.0
kNN_same_nodes,bottleneck,25,128,1505,0.440531561461794,1.0,,,,3.125,8,8,,
random_same_edge_budget,bottleneck,25,128,3205,0.7500780031201248,1.0,,,,1.875,8,8,,
support_core_plus_bottleneck,core_plus_bottleneck,25,128,3023,0.0,1.0,1.0,21.506863968417907,47.62432893268867,,7,7,100.0,100.0
kNN_same_nodes,core_plus_bottleneck,25,128,1264,0.45174050632911394,0.8571428571428571,,,,3.5,7,6,,
random_same_edge_budget,core_plus_bottleneck,25,128,3023,0.7651339728746278,1.0,,,,1.8571428571428572,7,7,,
support_all_upper_bound,all,25,128,24836,0.0,0.95,1.0,18.694000406689085,47.19083376958257,,100,95,100.0,100.0
kNN_same_nodes,all,25,128,24836,0.6121356095989693,0.99,,,,2.585858585858586,100,99,,
random_same_edge_budget,all,25,128,24836,0.8622161378643904,1.0,,,,1.97,100,100,,
support_density,density,25,192,4444,0.0,1.0,0.98,23.621774035951944,47.57229338147591,,17,17,100.0,98.0
kNN_same_nodes,density,25,192,2415,0.48530020703933746,0.9411764705882353,,,,3.5625,17,16,,
random_same_edge_budget,density,25,192,4444,0.8483348334833484,1.0,,,,1.8823529411764706,17,17,,
support_bottleneck,bottleneck,25,192,6330,0.0,1.0,1.0,21.780129524248903,47.25233115073725,,12,12,100.0,100.0
kNN_same_nodes,bottleneck,25,192,3551,0.46550267530273165,0.9166666666666666,,,,2.909090909090909,12,11,,
random_same_edge_budget,bottleneck,25,192,6330,0.782306477093207,1.0,,,,1.5,12,12,,
support_core_plus_bottleneck,core_plus_bottleneck,25,192,5795,0.0,1.0,1.0,20.60868846317669,47.325781797648396,,17,17,100.0,100.0
kNN_same_nodes,core_plus_bottleneck,25,192,3143,0.4696150174992046,1.0,,,,3.823529411764706,17,17,,
random_same_edge_budget,core_plus_bottleneck,25,192,5795,0.8,1.0,,,,1.8235294117647058,17,17,,
support_all_upper_bound,all,25,192,24836,0.0,0.95,1.0,18.694000406689085,47.19083376958257,,100,95,100.0,100.0
kNN_same_nodes,all,25,192,24836,0.6121356095989693,0.99,,,,2.585858585858586,100,99,,
random_same_edge_budget,all,25,192,24836,0.8622161378643904,1.0,,,,1.97,100,100,,
