method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids
calibrated_edge_penalized,2,401,477,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,3,315,106,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,4,428,224,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,5,327,27,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,6,55,461,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,7,64,67,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,8,440,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,9,0,470,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,10,480,240,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,11,67,207,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,12,152,177,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,13,5,53,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,14,214,96,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,15,338,321,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,16,352,59,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,17,475,393,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,18,84,119,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,19,385,369,True,3,2,37.19179253198391,12.610577008841865,16.40316205533597,0.446694089966943,0.4286285890493858,0.4155562204872924,0.2076487344560705,0.647195305070437,0.2647085986353738,0.17984189723320157,0.08695652173913043,1.7348955392433654,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08883795041140324,385 85 375 369,1524 382 1468
calibrated_edge_penalized,20,402,500,True,5,4,65.71588275593008,15.492307619438783,40.0,0.25828462202447483,0.0448348146559174,0.14002490043987675,1.1814722454179233e-17,0.5753290761153936,0.4451084948862776,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,1.0,0.00038123681126901016,402 375 271 1 303 500,1595 1466 1108 9 1223
calibrated_edge_penalized,21,389,98,True,2,1,23.868970994542586,8.205999788000636,10.0,0.3527990044766482,0.2680482230722809,0.11358398628820776,0.0543799444715402,0.6318260937865163,0.21432962581454207,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11728444261106317,389 296 98,1550 1198
calibrated_edge_penalized,22,372,506,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,23,311,203,True,4,3,42.228960119902325,11.766864351995725,30.0,0.3112084030975349,0.1950780263858014,0.13363864629592398,0.0125193461800457,0.7504645668229677,0.1710483891195525,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.008090725459641351,311 171 271 1 203,1247 736 1108 2
calibrated_edge_penalized,24,421,192,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,25,327,98,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,26,327,507,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,27,390,300,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,28,39,36,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,29,147,395,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,30,184,40,True,6,5,62.78979329915283,19.613273710035866,48.867924528301884,0.37588690378351153,0.2734515895172821,0.29297555399994935,0.1517610069469123,0.7165278557401953,0.2720692251444084,0.022641509433962266,0.0,0.10146750524109013,0.2,0.8,0.8,0.0,0.0,0.0,1.0,0.0024332780397902185,184 315 100 271 1 303 40,806 1264 400 1108 9 1221
calibrated_edge_penalized,31,39,208,True,4,3,53.424171092200496,14.861903528595633,21.452513966480446,0.3058943150677594,0.1044103926294044,0.13104267352435145,0.0252948962828377,0.5613701142645011,0.3979350524715992,0.28491620111731847,0.0,2.02048417132216,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.25,0.25,0.6666666666666666,0.00522798987780528,39 404 385 296 208,241 1612 1529 1200
calibrated_edge_penalized,32,432,48,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,33,97,400,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,34,401,301,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,35,67,256,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,36,443,446,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,37,257,214,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,38,246,495,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,39,471,261,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,40,494,45,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
calibrated_edge_penalized,41,117,182,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,
