method,query_id,src,dst,reachable,path_length,planning_path_cost,base_path_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,uncertified_edge_fraction,original_uncertified_edge_fraction,low_proxy_edge_fraction,low_support_lcb_edge_fraction,high_ood_edge_fraction,high_incompat_edge_fraction,bottleneck_edge_fraction,proxy_path_success,path_nodes,path_edge_ids,sweep_id,recommended_method
floor_proxy_penalized,41,117,182,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,42,453,511,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,43,152,51,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,44,441,326,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,45,423,254,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,46,147,26,True,3,16.109742492240997,12.256189101647724,0.22349220390621616,0.057293440311763276,0.16296627026211893,0.0,0.3421553838342406,0.47042782428176033,0.6313131313131314,0.08559491978609624,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.005344384434166873,147 309 227 26,586 1234 901,12,floor_proxy_penalized_s0012
floor_proxy_penalized,47,97,484,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,48,327,458,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,49,385,308,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,50,39,73,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,51,366,5,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,52,231,355,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,53,67,399,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,54,420,267,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,55,394,399,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,56,280,494,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,57,389,319,True,3,9.501959329924256,9.501959329924256,0.36889259705824307,0.3339485481505781,0.12112483096325989,0.083273228759258,0.8158677969360649,0.14164991121847348,0.3846153846153846,0.22598737500698282,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.04939486846928983,389 58 186 319,1544 287 816,12,floor_proxy_penalized_s0012
floor_proxy_penalized,58,10,239,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,59,260,247,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,60,352,293,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,61,441,458,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,62,394,46,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,63,48,462,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,64,143,271,True,3,10.552042128964924,8.052042128964924,0.22297517119783264,0.056431555990354085,0.12764851745847824,0.0,0.5052827861611053,0.35898174744481054,0.7564102564102564,0.05620245457643827,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.005266994123487681,143 161 369 271,551 660 1446,12,floor_proxy_penalized_s0012
floor_proxy_penalized,65,494,434,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,66,327,7,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,67,401,377,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,68,62,509,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,69,436,343,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,70,509,385,True,3,13.04529850803492,10.167334035025693,0.32512643406598013,0.2289831693422704,0.1305751332363566,0.111860052789403,0.6713428880898175,0.206832347571226,0.5364672364672364,0.07588286896196496,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.03184349505775474,509 361 243 385,1894 1431 958,12,floor_proxy_penalized_s0012
floor_proxy_penalized,71,142,473,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,72,252,244,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,73,372,480,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,74,62,505,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,75,287,188,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,76,366,117,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,77,455,356,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,78,62,241,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,79,62,467,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,80,352,335,True,4,15.467945399614543,15.467945399614543,0.303310857906965,0.25188042307660796,0.14567052366713437,0.0971981376163291,0.8196590893970359,0.33320784363195344,0.7633782679738562,0.09563883318478901,0.0,0.0,0.0,0.0,0.25,1.0,0.5,0.007860524883751158,352 361 156 248 335,1393 1427 628 991,12,floor_proxy_penalized_s0012
floor_proxy_penalized,81,115,94,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,82,327,288,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,83,352,37,True,3,12.708253928972525,10.6309036597829,0.30150859215599823,0.18930372630250644,0.17410385916953705,0.1500357088201714,0.6783428737673387,0.34978335132439486,0.8291666666666666,0.10284530720851474,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.0,0.02376774200286048,352 309 24 37,1391 1229 156,12,floor_proxy_penalized_s0012
floor_proxy_penalized,84,62,293,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,85,161,194,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,86,327,98,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,87,352,185,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,88,391,448,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,89,117,197,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,90,494,172,True,4,15.605169798520178,12.227205325510951,0.22150052629358213,0.05594316982855217,0.08998694408499963,0.0,0.5408118742112062,0.30775995978690185,0.8521825396825398,0.041785714285714246,0.25,0.25,0.0,0.0,0.25,1.0,0.5,0.001181768325091085,494 311 138 171 172,1855 1243 509 732,12,floor_proxy_penalized_s0012
floor_proxy_penalized,91,152,246,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,92,7,349,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,93,478,261,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,94,436,332,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,95,440,117,True,4,18.713618459324692,14.266404863824736,0.2557698751350039,0.03638218426059101,0.21562496061221043,0.0,0.4936962587557076,0.4671243405001281,0.8072916666666666,0.05241147741147737,0.25,0.25,0.0,0.0,0.5,1.0,0.0,0.001274999808235237,440 7 133 415 117,1703 44 504 1653,12,floor_proxy_penalized_s0012
floor_proxy_penalized,96,230,129,True,3,10.351615044897493,10.351615044897493,0.39813712107641325,0.35496828596042906,0.14188885139581806,0.065326253498713,0.8049640029787374,0.16113173622276078,0.35353535353535354,0.1876306996627852,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.062023176277696275,230 22 179 129,914 138 783,12,floor_proxy_penalized_s0012
floor_proxy_penalized,97,287,349,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,98,287,249,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
floor_proxy_penalized,99,390,467,False,0,,,,,,,,,,,,,,,,,,0.0,,,12,floor_proxy_penalized_s0012
