env,seed,variant,budget,fallback_mode,task_id,episode_id,success,shortest_edges,variant_edges,edge_overlap_jaccard,edge_overlap_vs_shortest,avoided_edges,new_edges,avoided_edge_ids,new_edge_ids
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,1,5,1,15,18,0.06451612903225806,0.13333333333333333,13,16,570|1868|2167|2506|2563|2650|2708|2719|3281|3318|3587|5289|5308,52|74|100|110|256|863|1646|1930|2210|2648|3129|3310|3572|3750|5288|5296
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,2,6,1,15,17,0.03225806451612903,0.06666666666666667,14,16,339|353|412|474|481|788|1513|1910|2035|2459|3082|3910|5283|5300,324|803|873|2005|2165|2281|2451|3063|3177|3505|4392|4686|4984|5263|5295|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,3,7,1,8,10,0.0,0.0,8,10,474|1006|1438|1444|2066|2270|5284|5305,1024|1786|2094|2490|3063|3065|3418|4696|5291|5306
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,4,8,1,14,18,0.10344827586206896,0.21428571428571427,11,15,97|117|1057|1122|1497|1643|1840|1932|3749|5285|5298,130|557|1332|1367|1438|1725|1831|2152|3108|3247|3875|3985|4883|5284|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,5,9,1,12,14,0.18181818181818182,0.3333333333333333,8,10,1050|1142|1266|1410|2934|3824|5281|5296,698|1267|1542|1681|2252|3525|4013|4802|5285|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,1,10,1,15,19,0.21428571428571427,0.4,9,13,714|1234|1260|1419|1619|2933|4215|5291|5307,14|39|368|392|803|1969|2167|2232|3623|4796|4918|5289|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,2,11,1,14,16,0.07142857142857142,0.14285714285714285,12,14,339|353|412|474|788|1513|1910|3082|3910|4571|5293|5296,275|803|873|986|2005|2165|3063|3505|4295|4392|4690|4984|5291|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,3,12,0,8,11,0.35714285714285715,0.625,3,6,3053|5289|5299,503|3063|3412|4696|5291|5305
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,4,13,0,14,17,0.06896551724137931,0.14285714285714285,12,15,97|117|1057|1122|1444|1497|1643|1782|1840|1964|3749|5286,130|549|818|1332|1367|1725|1786|2152|2468|2488|3108|3247|3875|4883|5290
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,5,14,1,12,14,0.13043478260869565,0.25,9,11,715|729|1050|1142|1266|2934|3824|5281|5296,3|679|698|735|1287|1681|1953|2534|3520|5283|5300
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,1,15,1,15,19,0.0967741935483871,0.2,12,16,714|1234|1260|1419|1619|1868|2563|2933|3318|4215|5291|5308,14|39|52|74|93|368|392|803|850|2162|2232|3623|4796|4920|5289|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,2,16,1,15,17,0.0,0.0,15,17,339|353|412|474|481|788|1513|1910|2035|2459|2992|3082|3910|5282|5302,324|803|836|1150|1883|2004|2165|2281|3063|3177|3480|3821|4392|4686|4984|5284|5299
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,3,17,1,9,11,0.25,0.4444444444444444,5,7,466|1006|2270|5287|5297,2281|3063|3418|4686|4984|5291|5298
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,4,18,1,14,18,0.10344827586206896,0.21428571428571427,11,15,97|117|1057|1122|1497|1643|1840|1932|3749|5285|5298,130|557|1332|1367|1438|1725|1831|2152|3108|3247|3875|3985|4883|5284|5300
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,5,19,1,12,14,0.3,0.5,6,8,22|715|729|1256|5281|5310,735|1593|1953|2534|3525|4792|5287|5296
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,1,20,1,15,16,0.03333333333333333,0.06666666666666667,14,15,570|1868|2167|2506|2563|2650|2708|2719|3281|3318|3587|5190|5289|5308,14|52|74|100|110|237|408|850|1646|2232|2648|3750|4796|5280|5302
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,2,21,1,15,17,0.03225806451612903,0.06666666666666667,14,16,339|353|412|474|481|788|1513|1910|2035|2459|3082|3910|5282|5300,324|803|873|2005|2165|2281|2451|3063|3177|3505|4290|4392|4686|4984|5290|5297
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,3,22,1,9,11,0.0,0.0,9,11,474|1006|1438|1444|1782|2066|2270|5287|5305,503|1024|1106|2094|2406|2490|3063|3065|4696|5283|5306
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,4,23,1,15,18,0.1,0.2,12,15,97|117|1057|1122|1438|1497|1643|1840|1932|3749|5285|5299,130|557|1332|1367|1443|1725|1831|2152|3108|3247|3875|3985|4883|5284|5311
antmaze-medium-navigate-v0,0,gas_reachability_budget,2.0,progress_stall_v2,5,24,1,13,14,0.2857142857142857,0.46153846153846156,7,8,1050|1142|1410|1593|3824|5286|5296,679|698|1216|1287|1427|1681|5281|5308
