env,run_episodes,task_id,variant,gas_n,gas_success_rate,variant_n,variant_success_rate,delta_success_rate,delta_mean_steps
antmaze-medium-navigate-v0,5,1,lowcond_full_nearestgoal,5,1.0,5,0.2,-0.8,628.4
antmaze-medium-navigate-v0,5,1,lowcond_full_nomask_nearestgoal,5,1.0,5,0.6,-0.4,393.79999999999995
antmaze-medium-navigate-v0,5,1,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.2,-0.8,662.1999999999999
antmaze-medium-navigate-v0,5,1,lowcond_full_trajend,5,1.0,5,0.6,-0.4,454.79999999999995
antmaze-medium-navigate-v0,5,1,lowcond_tdr_only_local,5,1.0,5,0.6,-0.4,370.4
antmaze-medium-navigate-v0,5,2,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,789.2
antmaze-medium-navigate-v0,5,2,lowcond_full_localres,5,1.0,5,1.0,0.0,168.2
antmaze-medium-navigate-v0,5,2,lowcond_full_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,314.99999999999994
antmaze-medium-navigate-v0,5,2,lowcond_full_nomask_nearestgoal,5,1.0,5,1.0,0.0,269.4
antmaze-medium-navigate-v0,5,2,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.0,-1.0,789.2
antmaze-medium-navigate-v0,5,2,lowcond_full_trajend,5,1.0,5,0.4,-0.6,497.2
antmaze-medium-navigate-v0,5,2,lowcond_tdr_only_local,5,1.0,5,0.6,-0.4,389.59999999999997
antmaze-medium-navigate-v0,5,3,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,846.8
antmaze-medium-navigate-v0,5,3,lowcond_full_localres,5,1.0,5,1.0,0.0,253.60000000000002
antmaze-medium-navigate-v0,5,3,lowcond_full_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,293.6
antmaze-medium-navigate-v0,5,3,lowcond_full_nomask_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,383.8
antmaze-medium-navigate-v0,5,3,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.6,-0.4,619.5999999999999
antmaze-medium-navigate-v0,5,3,lowcond_full_trajend,5,1.0,5,0.8,-0.19999999999999996,308.8
antmaze-medium-navigate-v0,5,3,lowcond_tdr_only_local,5,1.0,5,0.8,-0.19999999999999996,258.2
antmaze-medium-navigate-v0,5,4,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,705.2
antmaze-medium-navigate-v0,5,4,lowcond_full_localres,5,1.0,5,0.4,-0.6,460.59999999999997
antmaze-medium-navigate-v0,5,4,lowcond_full_nearestgoal,5,1.0,5,1.0,0.0,284.2
antmaze-medium-navigate-v0,5,4,lowcond_full_nomask_nearestgoal,5,1.0,5,0.6,-0.4,410.2
antmaze-medium-navigate-v0,5,4,lowcond_full_rawdist_nearestgoal,5,1.0,5,1.0,0.0,234.8
antmaze-medium-navigate-v0,5,4,lowcond_full_trajend,5,1.0,5,0.4,-0.6,587.5999999999999
antmaze-medium-navigate-v0,5,4,lowcond_tdr_only_local,5,1.0,5,0.8,-0.19999999999999996,272.99999999999994
antmaze-medium-navigate-v0,5,5,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,786.0
antmaze-medium-navigate-v0,5,5,lowcond_full_localres,5,1.0,5,1.0,0.0,192.8
antmaze-medium-navigate-v0,5,5,lowcond_full_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,442.4
antmaze-medium-navigate-v0,5,5,lowcond_full_nomask_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,318.79999999999995
antmaze-medium-navigate-v0,5,5,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.8,-0.19999999999999996,453.4
antmaze-medium-navigate-v0,5,5,lowcond_full_trajend,5,1.0,5,0.8,-0.19999999999999996,521.8
antmaze-medium-navigate-v0,5,5,lowcond_tdr_only_local,5,1.0,5,1.0,0.0,122.60000000000002
antmaze-medium-stitch-v0,5,1,lowcond_factor_only_nearestgoal,5,1.0,5,0.0,-1.0,708.0
antmaze-medium-stitch-v0,5,1,lowcond_full,5,1.0,5,0.4,-0.6,588.0
antmaze-medium-stitch-v0,5,1,lowcond_full_localres,5,1.0,5,0.8,-0.19999999999999996,292.0
antmaze-medium-stitch-v0,5,1,lowcond_full_localres_from_full,5,1.0,5,0.6,-0.4,371.4
antmaze-medium-stitch-v0,5,1,lowcond_full_nearestgoal,5,1.0,5,1.0,0.0,140.0
antmaze-medium-stitch-v0,5,1,lowcond_full_nomask_nearestgoal,5,1.0,5,0.6,-0.4,346.4
antmaze-medium-stitch-v0,5,1,lowcond_full_rawdist_nearestgoal,5,1.0,5,0.6,-0.4,435.6
antmaze-medium-stitch-v0,5,1,lowcond_full_trajend,5,1.0,5,1.0,0.0,181.2
antmaze-medium-stitch-v0,5,1,lowcond_tdr_only_local,5,1.0,5,1.0,0.0,200.0
