result_set,condition,env,variant,fallback_used_bucket,count,mean,std
stage19_protocol_ablation_medium50,original,antmaze-medium-play-v2,reachability,0,150,0.11333333333333333,0.31806180368281994
stage19_protocol_ablation_medium50,original,antmaze-medium-play-v2,shortest,0,150,0.02666666666666667,0.161647004039632
stage19_protocol_ablation_medium50,planner_fallback_only,antmaze-medium-diverse-v2,full_bars,0,150,0.11333333333333333,0.31806180368281994
stage19_protocol_ablation_medium50,planner_fallback_only,antmaze-medium-diverse-v2,reachability,0,150,0.1,0.30100502794079315
stage19_protocol_ablation_medium50,planner_fallback_only,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.3097231209211053
stage19_protocol_ablation_medium50,planner_fallback_only,antmaze-medium-play-v2,full_bars,0,150,0.04666666666666667,0.21163050828222804
stage19_protocol_ablation_medium50,planner_fallback_only,antmaze-medium-play-v2,reachability,0,150,0.04,0.19661566092456972
stage19_protocol_ablation_medium50,planner_fallback_only,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.08164965809277258
stage19_protocol_ablation_medium50,time_only,antmaze-medium-diverse-v2,full_bars,0,150,0.25333333333333335,0.43637719455582413
stage19_protocol_ablation_medium50,time_only,antmaze-medium-diverse-v2,reachability,0,150,0.17333333333333334,0.3798033165786158
stage19_protocol_ablation_medium50,time_only,antmaze-medium-diverse-v2,shortest,0,150,0.19333333333333333,0.39623507812467246
stage19_protocol_ablation_medium50,time_only,antmaze-medium-play-v2,full_bars,0,150,0.17333333333333334,0.3798033165786158
stage19_protocol_ablation_medium50,time_only,antmaze-medium-play-v2,reachability,0,150,0.16,0.3678342200269286
stage19_protocol_ablation_medium50,time_only,antmaze-medium-play-v2,shortest,0,150,0.06666666666666667,0.25027948583350335
stage19_protocol_ablation_medium50,tuned_no_fallback,antmaze-medium-diverse-v2,full_bars,0,150,0.11333333333333333,0.31806180368281994
stage19_protocol_ablation_medium50,tuned_no_fallback,antmaze-medium-diverse-v2,reachability,0,150,0.1,0.3010050279407931
stage19_protocol_ablation_medium50,tuned_no_fallback,antmaze-medium-diverse-v2,shortest,0,150,0.10666666666666667,0.30972312092110543
stage19_protocol_ablation_medium50,tuned_no_fallback,antmaze-medium-play-v2,full_bars,0,150,0.04666666666666667,0.21163050828222812
stage19_protocol_ablation_medium50,tuned_no_fallback,antmaze-medium-play-v2,reachability,0,150,0.04,0.1966156609245697
stage19_protocol_ablation_medium50,tuned_no_fallback,antmaze-medium-play-v2,shortest,0,150,0.006666666666666667,0.0816496580927726
