result_set,condition,env,variant,last_plan_edges_bucket,count,mean,std
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,0,42,0.7619047619047619,0.4310805374090423
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,1,65,0.46153846153846156,0.5023980952928128
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,2,13,0.3076923076923077,0.48038446141526137
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,full_bars,3+,30,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,0,31,0.8387096774193549,0.37387825055298296
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,1,62,0.4838709677419355,0.5038193627589668
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,2,17,0.058823529411764705,0.24253562503633297
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,reachability,3+,40,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,0,23,0.7391304347826086,0.4489777585448796
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,1,43,0.5581395348837209,0.5024855165595915
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,2,21,0.09523809523809523,0.30079260375911915
stage18_medium50,direct_goal_fallback,antmaze-medium-diverse-v2,shortest,3+,63,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,0,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,1,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,2,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,direct_goal,3+,0,,
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,0,46,0.8913043478260869,0.3146963876899777
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,1,45,0.5555555555555556,0.502518907629606
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,2,36,0.3055555555555556,0.4671765921511567
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,full_bars,3+,23,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,0,34,0.6470588235294118,0.4850712500726659
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,1,31,0.22580645161290322,0.4250237185032414
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,2,56,0.32142857142857145,0.4712514425207865
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,reachability,3+,29,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,0,23,0.6086956521739131,0.4990108793478454
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,1,29,0.5517241379310345,0.5061201788784757
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,2,18,0.0,0.0
stage18_medium50,direct_goal_fallback,antmaze-medium-play-v2,shortest,3+,80,0.0,0.0
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,direct_goal,0,150,0.006666666666666667,0.0816496580927726
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,direct_goal,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,direct_goal,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,direct_goal,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,full_bars,0,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,full_bars,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,full_bars,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,full_bars,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,reachability,0,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,reachability,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,reachability,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,reachability,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,shortest,0,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,shortest,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,shortest,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-diverse-v2,shortest,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,direct_goal,0,150,0.0,0.0
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,direct_goal,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,direct_goal,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,direct_goal,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,full_bars,0,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,full_bars,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,full_bars,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,full_bars,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,reachability,0,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,reachability,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,reachability,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,reachability,3+,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,shortest,0,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,shortest,1,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,shortest,2,0,,
stage18_medium50,direct_goal_only,antmaze-medium-play-v2,shortest,3+,0,,
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,direct_goal,0,0,,
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,direct_goal,1,0,,
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,direct_goal,2,0,,
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,direct_goal,3+,0,,
stage18_medium50,horizon_threshold_only,antmaze-medium-diverse-v2,full_bars,0,0,,
