edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input,certification_source,is_repair_edge,bank_edge_id,repair_support_proxy_lcb,repair_score,repair_reason,repair_support_rank,repair_diversity_rank,repair_endpoint_familiarity
2210,433,423,0.40631545875655045,,,0.6671108466501332,,,0.0,0.3886410420207098,0.7837837837837838,0.0314376561264437,0.0,0.6818181818181818,0.0,False,0.4213611471738389,13,4,3.0,37,4,,,,,,,,,,,0.0,,,False,0.40631545875655045,0.6671108466501332,0.6113589579792902,0.5183170072170272,0.41604088443888193,0.5123780931952372,0.4876219068047628,0.3886410420207098,True,0.5123780931952372,0.3886410420207098,repair_transfer_proxy,True,5994.0,0.40631545875655045,3.131066962021212,low_compatibility_junction,0.5492282019190655,0.41604088443888193,1.0
2211,441,175,0.3710716096726548,,,0.5790657773264013,,,0.0,0.42452578615258474,0.08927108927108927,0.0,0.7272727272727273,1.0,0.0,False,0.8135368683831736,12,3,4.0,37,3,,,,,,,,,,,0.0,,,False,0.3710716096726548,0.5790657773264013,0.5754742138474153,0.0780170826010193,0.3469962453066333,0.32200194180629726,0.6779980581937027,0.42452578615258474,True,0.32200194180629726,0.42452578615258474,repair_transfer_proxy,True,6116.0,0.3710716096726548,3.129125285549996,low_compatibility_junction,0.5492282019190655,0.3469962453066333,1.0
2212,243,498,0.4326617346448889,,,0.5743586959273816,,,0.0,0.36249092072618305,0.6538461538461539,0.08557976281446138,0.0,0.8,0.0,False,0.513207298120322,21,7,2.0,26,7,,,,,,,,,,,0.0,,,False,0.4326617346448889,0.5743586959273816,0.637509079273817,0.47098596051069774,0.5747809762202754,0.517762141690244,0.48223785830975596,0.36249092072618305,True,0.517762141690244,0.36249092072618305,repair_transfer_proxy,True,3291.0,0.4326617346448889,3.1287946191719183,low_compatibility_junction,0.4507717980809345,0.5747809762202754,1.0
2213,117,467,0.28338417357805173,,,0.0,,,0.0,0.51919263567915,0.0,0.034703403888898476,1.0,0.8636363636363636,0.0,False,0.4917030780433945,7,3,3.5,24,3,,,,,,,,,,,0.0,,,False,0.28338417357805173,0.0,0.48080736432085003,0.0343957931602331,0.2598039215686274,0.12052538707183649,0.8794746129281635,0.51919263567915,False,0.12052538707183649,0.51919263567915,repair_transfer_proxy,True,1541.0,0.28338417357805173,3.128327101681528,low_compatibility_junction,0.4278264497288277,0.2598039215686274,1.0
2214,360,117,0.3129555178119845,,,0.0,,,0.0,0.4863005213699204,0.11553030303030304,0.0,0.8181818181818182,1.0,0.0,False,0.4917030780433945,10,3,4.0,24,3,,,,,,,,,,,0.0,,,False,0.3129555178119845,0.0,0.5136994786300796,0.07246638814283705,0.3168544013350021,0.1489724312758731,0.8510275687241269,0.4863005213699204,True,0.1489724312758731,0.4863005213699204,repair_transfer_proxy,True,4968.0,0.3129555178119845,3.1275145679451377,low_compatibility_junction,0.4278264497288277,0.3168544013350021,1.0
2215,383,409,0.025197275068780875,,,0.5557987561240778,,,1.0,0.9042167061907048,0.6666666666666666,0.04926376333782193,0.3333333333333333,0.8,0.0,False,0.4802692742212701,3,2,5.0,3,2,,,,,,,,,,,0.0,,,False,0.025197275068780875,0.5557987561240778,0.09578329380929518,0.3938505552037547,0.07801418439716312,0.11855808898167797,0.881441911018322,0.9042167061907048,False,0.11855808898167797,0.9042167061907048,repair_transfer_proxy,True,5282.0,0.025197275068780875,3.127186428731358,low_compatibility_junction,0.011264080100125156,0.07801418439716312,1.0
2216,259,447,0.039302356066713715,,,0.0,,,1.0,0.8711751120302409,0.0,0.014545564559553501,1.0,0.8275862068965517,0.0,False,1.0,2,2,2.5,4,2,,,,,,,,,,,0.0,,,False,0.039302356066713715,0.0,0.1288248879697591,0.025039248983065112,0.057259073842302874,0.04130857572583862,0.9586914242741614,0.8711751120302409,False,0.04130857572583862,0.8711751120302409,repair_transfer_proxy,True,3607.0,0.039302356066713715,3.1269811226448136,low_compatibility_junction,0.03733833959115561,0.057259073842302874,1.0
2217,366,361,0.4682652645993296,,,0.7078942676936514,,,0.0,0.3279802884957721,0.11143695014662756,0.0,0.6451612903225806,1.0,0.0,False,0.3926546039699585,19,4,4.0,55,4,,,,,,,,,,,0.0,,,False,0.4682652645993296,0.7078942676936514,0.6720197115042279,0.09942603230595125,0.466624947851481,0.4008800849193867,0.5991199150806132,0.3279802884957721,True,0.4008800849193867,0.3279802884957721,repair_transfer_proxy,True,5058.0,0.4682652645993296,3.125194734470755,low_compatibility_junction,0.6503963287442637,0.466624947851481,1.0
2218,297,14,0.6121970194588291,,,0.0,,,0.0,0.19650806219944583,0.42690058479532156,0.0759990188038324,0.0,0.68,0.0,False,0.4467015809554916,38,18,3.0,57,18,,,,,,,,,,,0.0,,,False,0.6121970194588291,0.0,0.8034919378005542,0.4073780421030579,0.7904672507300793,0.3083596745006913,0.6916403254993087,0.19650806219944583,True,0.3083596745006913,0.19650806219944583,repair_transfer_proxy,True,4110.0,0.6121970194588291,3.125122847947483,low_compatibility_junction,0.6562369628702545,0.7904672507300793,1.0
2219,361,51,0.41022119735947343,,,0.7078942676936514,,,0.0,0.3847294687426428,0.0,0.1640175131869484,1.0,0.6190476190476191,0.0,False,0.4178866297702084,12,4,3.0,41,4,,,,,,,,,,,0.0,,,False,0.41022119735947343,0.7078942676936514,0.6152705312573572,0.12498286099147407,0.4052982895285774,0.390714834738859,0.6092851652611411,0.3847294687426428,True,0.390714834738859,0.3847294687426428,repair_transfer_proxy,True,4985.0,0.41022119735947343,3.124319934358984,low_compatibility_junction,0.5746766791823112,0.4052982895285774,1.0
2220,259,365,0.06348198683708682,,,0.0,,,1.0,0.82265413918735,0.0,0.010694652673663166,1.0,0.9310344827586207,0.0,False,1.0,2,2,3.0,6,2,,,,,,,,,,,0.0,,,False,0.06348198683708682,0.0,0.17734586081265002,0.013579048690501867,0.057259073842302874,0.048613377412257,0.951386622587743,0.82265413918735,False,0.048613377412257,0.82265413918735,repair_transfer_proxy,True,3592.0,0.06348198683708682,3.122863418909553,low_compatibility_junction,0.09741343345848978,0.057259073842302874,1.0
2221,479,243,0.03620148835568841,,,0.5743586959273816,,,1.0,0.8780434864944037,0.04597701149425287,0.0142405063291139,0.9310344827586207,0.5,0.0,False,0.513207298120322,3,3,1.0,3,3,,,,,,,,,,,0.0,,,False,0.03620148835568841,0.5743586959273816,0.12195651350559633,0.09254956938765824,0.1610346266166041,0.11237310357413127,0.8876268964258687,0.8780434864944037,False,0.11237310357413127,0.8780434864944037,repair_transfer_proxy,True,6601.0,0.03620148835568841,3.1214647202707217,low_compatibility_junction,0.011264080100125156,0.1610346266166041,1.0
2222,343,8,0.23851801666420688,,,0.05132180408117868,,,0.0,0.5713842005201885,0.05654761904761905,0.0232558139534883,0.875,0.0,0.0,False,0.5598156811542085,8,3,3.0,14,3,,,,,,,,,,,0.0,,,False,0.23851801666420688,0.05132180408117868,0.42861579947981154,0.14981560510027467,0.2796203587818106,0.18259911330403344,0.8174008866959666,0.5713842005201885,True,0.18259911330403344,0.5713842005201885,repair_transfer_proxy,True,4742.0,0.23851801666420688,3.121024831107869,low_compatibility_junction,0.2816020025031289,0.2796203587818106,1.0
2223,271,408,0.06348198683708682,,,0.5184346706611771,,,1.0,0.82265413918735,0.0,0.019554100262563344,1.0,0.8571428571428571,0.0,False,0.7393293140999965,2,2,3.5,6,2,,,,,,,,,,,0.0,,,False,0.06348198683708682,0.5184346706611771,0.17734586081265002,0.026426515541459042,0.057259073842302874,0.09855770558360341,0.9014422944163966,0.82265413918735,False,0.09855770558360341,0.82265413918735,repair_transfer_proxy,True,3774.0,0.06348198683708682,3.1197177117137818,low_compatibility_junction,0.09741343345848978,0.057259073842302874,1.0
2224,171,211,0.3284224505432354,,,0.493239967713645,,,0.0,0.46951153982063853,0.0,0.06906076136977544,1.0,0.8333333333333334,0.0,False,0.7182700165677158,13,8,5.0,14,8,,,,,,,,,,,0.0,,,False,0.3284224505432354,0.493239967713645,0.5304884601793615,0.053642629724321315,0.5301418439716312,0.2862977348706541,0.7137022651293459,0.46951153982063853,True,0.2862977348706541,0.46951153982063853,repair_transfer_proxy,True,2333.0,0.3284224505432354,3.1196273231640186,low_compatibility_junction,0.2816020025031289,0.5301418439716312,1.0
2225,259,185,0.09352832677892237,,,0.0,,,1.0,0.7703765914029315,0.0,0.005045699082909679,1.0,0.8620689655172413,0.0,False,1.0,3,2,4.0,8,2,,,,,,,,,,,0.0,,,False,0.09352832677892237,0.0,0.22962340859706853,0.013190512634033966,0.07801418439716312,0.059308308355186225,0.9406916916448138,0.7703765914029315,False,0.059308308355186225,0.7703765914029315,repair_transfer_proxy,True,3572.0,0.09352832677892237,3.1187348279749827,low_compatibility_junction,0.15519399249061328,0.07801418439716312,1.0
