edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input,certification_source,is_repair_edge,bank_edge_id,repair_support_proxy_lcb,repair_score,repair_reason,repair_support_rank,repair_diversity_rank,repair_endpoint_familiarity,direct_edge_policy_support_score
349,229,207,0.0198903713271305,0.0033937289845198,0.1175749413923911,0.934377656163444,12.720318794250488,0.0,1.0,0.6666666666666666,0.2361111111111111,0.0174919194768396,0.625,0.2,0.1510511740612334,False,1.3972225133438927,6,4,10.0,9,4,8.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,0.2469630817720138,False,0.0198903713271305,0.934377656163444,0.33333333333333337,0.2729393526687028,0.11604859335038364,0.15228827107724086,0.8477117289227591,0.6666666666666666,False,0.15228827107724086,0.6666666666666666,phase4c_base,False,,,,,,,,
299,216,215,0.1008733463476595,0.026994252949953,0.0749991420834893,0.5828152378910301,10.280732154846191,0.4547849765774021,0.0,0.2711371456606803,0.2064602064602065,0.3735133607826473,0.1428571428571428,0.0,0.3600505945544555,True,0.6704601283040799,270,38,6.0,1287,38,1136.0,240.0,241.0,31.0,151.0,30.0,36.0,7.0,1.0,0.1173271173271173,45.0,0.3586264604046392,0.2460775520645901,False,0.1008733463476595,0.5828152378910301,0.7288628543393196,0.5189156404794348,0.7790920716112533,0.3621983789139903,0.6378016210860097,0.27113714566068037,True,0.3621983789139903,0.27113714566068037,phase4c_base,False,,,,,,,,
420,272,252,0.2442872095937293,0.0495707922335464,0.0721659087576017,0.3710509684028278,10.057576179504396,0.8942510642229596,0.0,0.3932682894663153,0.2312307528937028,0.5267332433372501,0.1666666666666666,0.0,0.4347362491183858,True,1.1940024538182468,673,55,7.0,3139,55,2325.0,497.0,410.0,41.0,814.0,176.0,160.0,14.0,1.0,0.2593182542210895,373.0,0.2855538041759865,0.2454997450348038,False,0.2442872095937293,0.3710509684028278,0.6067317105336847,0.5894066210513645,0.9536445012787724,0.43538947286767443,0.5646105271323256,0.3932682894663153,True,0.43538947286767443,0.3932682894663153,phase4c_base,False,,,,,,,,
212,198,217,0.0451112577973331,0.0070316514465957,0.1232486729994698,0.8688080806339125,10.19663906097412,0.0662007798717932,1.0,0.4657636230744599,0.1152073732718893,0.0080666490346469,0.4285714285714285,0.75,0.2058744701595861,False,0.6242252993529385,27,7,9.0,62,7,56.0,24.0,18.0,6.0,6.0,3.0,3.0,1.0,1.0,0.0967741935483871,2.0,0.3310900893515864,0.2444379672323147,False,0.0451112577973331,0.8688080806339125,0.53423637692554,0.15910751399408507,0.28388746803069054,0.2066663182692829,0.793333681730717,0.46576362307445995,True,0.2066663182692829,0.46576362307445995,phase4c_base,False,,,,,,,,
282,213,232,0.1434027405700776,0.0362088724214118,0.0714503866348281,0.4847231147805771,9.876137733459473,0.6341531568550307,0.0,0.2867649177202462,0.2162809257781324,0.4862131598291888,0.25,0.0,0.3931931262601296,True,1.0962254186468878,328,45,8.0,1253,45,1049.0,269.0,320.0,35.0,204.0,59.0,74.0,10.0,1.0,0.1628092577813248,112.0,0.2261415963057082,0.2443509474509116,False,0.1434027405700776,0.4847231147805771,0.7132350822797537,0.5543835878281418,0.8481457800511509,0.3947495506421478,0.6052504493578522,0.28676491772024626,True,0.3947495506421478,0.28676491772024626,phase4c_base,False,,,,,,,,
421,272,273,0.3094319324083661,0.0552049598697986,0.076913912136641,0.3315093722873074,9.77139377593994,1.0,0.0,0.3972810261574915,0.2329548762736535,0.3719232345307541,0.0,0.0,0.4470314093877168,True,0.8389728572309009,743,41,7.0,3435,41,2319.0,506.0,426.0,27.0,1116.0,237.0,207.0,14.0,1.0,0.3248908296943231,450.0,0.1918430784724744,0.2439852931142302,False,0.3094319324083661,0.3315093722873074,0.6027189738425085,0.5499445930293376,0.9124040920716112,0.4480992154146957,0.5519007845853043,0.3972810261574915,True,0.4480992154146957,0.3972810261574915,phase4c_base,False,,,,,,,,
333,224,203,0.0941440416845884,0.0294134035596952,0.0764833413275437,0.5552881719809057,10.176000595092772,0.5018752166064113,0.0,0.2754024062797418,0.2924731182795699,0.3768330297835738,0.1666666666666666,0.0,0.3515127592112861,True,0.6191565157353949,328,29,8.0,1085,29,964.0,291.0,212.0,24.0,121.0,37.0,27.0,5.0,1.0,0.1115207373271889,51.0,0.324332002232814,0.2436344424464473,False,0.0941440416845884,0.5552881719809057,0.7245975937202582,0.5538639885949205,0.7407289002557544,0.3537589762920867,0.6462410237079133,0.2754024062797418,True,0.3537589762920867,0.2754024062797418,phase4c_base,False,,,,,,,,
383,233,232,0.2231794819074928,0.0432575552967538,0.0648025079408368,0.4209879340454396,10.363967895507812,0.7713600621016602,0.0,0.385747384119621,0.2088084795321637,0.4563727488064326,0.125,0.2222222222222222,0.4262124695845862,True,1.1619791581108354,720,69,7.0,3420,69,2609.0,525.0,569.0,49.0,811.0,195.0,181.0,20.0,1.0,0.2371345029239766,358.0,0.3858820902572033,0.2435115573985265,False,0.2231794819074928,0.4209879340454396,0.6142526158803789,0.5242606108589882,0.9763427109974425,0.42656899610536697,0.5734310038946331,0.38574738411962106,True,0.42656899610536697,0.38574738411962106,phase4c_base,False,,,,,,,,
182,146,166,0.1669600032379407,0.0365330707119009,0.0678609604342141,0.481590354009564,9.82137680053711,0.6404638740359484,0.0,0.2828913152999208,0.273650454302512,0.3309421213007908,0.0,0.1666666666666666,0.4078407200606417,True,1.2918859947622392,398,42,7.0,1871,42,1527.0,320.0,287.0,33.0,344.0,78.0,59.0,9.0,1.0,0.1838588989845002,143.0,0.2082100718638141,0.2434312335283837,False,0.1669600032379407,0.481590354009564,0.7171086847000792,0.526407570694844,0.8634910485933504,0.4095684504251903,0.5904315495748097,0.28289131529992084,True,0.4095684504251903,0.28289131529992084,phase4c_base,False,,,,,,,,
40,10,11,0.2002021646686057,0.0362377665883126,0.0626868267710689,0.4844430822898418,9.45651912689209,0.6347155994120675,0.0,0.2411508821849618,0.2045998694043387,0.2162534567521239,0.4285714285714285,0.5714285714285714,0.3925544657888484,True,0.6435638621308869,337,37,7.0,1969,37,1540.0,264.0,278.0,29.0,429.0,73.0,80.0,8.0,1.0,0.217877094972067,199.0,0.088737047142818,0.2433840349515449,False,0.2002021646686057,0.4844430822898418,0.7588491178150382,0.3243660456014403,0.8027493606138107,0.3946256799730492,0.6053743200269508,0.24115088218496183,True,0.3946256799730492,0.24115088218496183,phase4c_base,False,,,,,,,,
