baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
kNN_same_nodes,bottleneck,10,80,333,0.1111111111111111,0.7083333333333334,,,,5.094117647058823,120,85,,
kNN_geometry_same_nodes,bottleneck,10,80,333,0.09009009009009009,0.8416666666666667,,,,6.257425742574258,120,101,,
grid_adjacent_same_nodes,bottleneck,10,80,150,0.0,0.19166666666666668,,,,9.608695652173912,120,23,,
random_same_edge_budget,bottleneck,10,80,333,0.9579579579579579,0.9833333333333333,,,,2.9915254237288136,120,118,,
support_core_plus_bottleneck,core_plus_bottleneck,10,80,312,0.0,0.8055555555555556,0.592,59.317606623892004,65.66245280573563,,144,116,500.0,296.0
kNN_same_nodes,core_plus_bottleneck,10,80,312,0.125,0.6041666666666666,,,,5.310344827586207,144,87,,
kNN_geometry_same_nodes,core_plus_bottleneck,10,80,312,0.10256410256410256,0.6111111111111112,,,,5.75,144,88,,
grid_adjacent_same_nodes,core_plus_bottleneck,10,80,138,0.0,0.1736111111111111,,,,10.04,144,25,,
random_same_edge_budget,core_plus_bottleneck,10,80,312,0.9647435897435898,0.9236111111111112,,,,3.300751879699248,144,133,,
support_all_upper_bound,all,10,80,1569,0.0,0.992,0.998,48.87267223507899,50.32242344106281,,500,496,500.0,499.0
kNN_same_nodes,all,10,80,1569,0.3352453792224347,0.534,,,,4.674157303370786,500,267,,
kNN_geometry_same_nodes,all,10,80,1569,0.3397068196303378,0.534,,,,4.752808988764045,500,267,,
grid_adjacent_same_nodes,all,10,80,824,0.05703883495145631,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,10,80,1569,0.9687699171446782,0.986,,,,3.332657200811359,500,493,,
support_density,density,10,120,537,0.0,0.941747572815534,0.844,51.602614976432996,54.32395670029595,,309,291,500.0,422.0
kNN_same_nodes,density,10,120,537,0.1601489757914339,0.6375404530744336,,,,5.436548223350254,309,197,,
kNN_geometry_same_nodes,density,10,120,537,0.1266294227188082,0.8349514563106796,,,,7.0310077519379846,309,258,,
grid_adjacent_same_nodes,density,10,120,246,0.0,0.4368932038834951,,,,10.925925925925926,309,135,,
random_same_edge_budget,density,10,120,537,0.962756052141527,0.9676375404530745,,,,3.2274247491638794,309,299,,
support_bottleneck,bottleneck,10,120,627,0.0,1.0,0.878,50.283959471665604,54.68650427178149,,227,227,500.0,439.0
kNN_same_nodes,bottleneck,10,120,627,0.12280701754385964,0.7180616740088106,,,,5.2024539877300615,227,163,,
kNN_geometry_same_nodes,bottleneck,10,120,627,0.10685805422647528,0.8986784140969163,,,,6.299019607843137,227,204,,
grid_adjacent_same_nodes,bottleneck,10,120,276,0.0,0.7709251101321586,,,,12.457142857142857,227,175,,
random_same_edge_budget,bottleneck,10,120,627,0.960127591706539,0.9911894273127754,,,,2.977777777777778,227,225,,
support_core_plus_bottleneck,core_plus_bottleneck,10,120,582,0.0,0.9464882943143813,0.834,50.55063453182929,53.46160325446664,,299,283,500.0,417.0
kNN_same_nodes,core_plus_bottleneck,10,120,582,0.1323024054982818,0.6321070234113713,,,,5.174603174603175,299,189,,
kNN_geometry_same_nodes,core_plus_bottleneck,10,120,582,0.10996563573883161,0.7926421404682275,,,,6.438818565400844,299,237,,
grid_adjacent_same_nodes,core_plus_bottleneck,10,120,254,0.0,0.5250836120401338,,,,11.770700636942674,299,157,,
random_same_edge_budget,core_plus_bottleneck,10,120,582,0.9690721649484536,0.9531772575250836,,,,3.1719298245614036,299,285,,
support_all_upper_bound,all,10,120,1569,0.0,0.992,0.998,48.87267223507899,50.32242344106281,,500,496,500.0,499.0
kNN_same_nodes,all,10,120,1569,0.3352453792224347,0.534,,,,4.674157303370786,500,267,,
kNN_geometry_same_nodes,all,10,120,1569,0.3397068196303378,0.534,,,,4.752808988764045,500,267,,
grid_adjacent_same_nodes,all,10,120,824,0.05703883495145631,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,10,120,1569,0.9687699171446782,0.986,,,,3.332657200811359,500,493,,
support_density,density,25,40,159,0.0,0.58,0.528,75.01103062042223,83.53607630741527,,50,29,500.0,264.0
kNN_same_nodes,density,25,40,82,0.0,0.24,,,,5.083333333333333,50,12,,
kNN_geometry_same_nodes,density,25,40,70,0.0,0.18,,,,6.111111111111111,50,9,,
grid_adjacent_same_nodes,density,25,40,30,0.0,0.0,,,,0.0,50,0,,
random_same_edge_budget,density,25,40,159,0.9056603773584906,1.0,,,,2.6,50,50,,
support_bottleneck,bottleneck,25,40,238,0.0,0.75,0.354,67.49433577974439,74.3296722946881,,32,24,500.0,177.0
kNN_same_nodes,bottleneck,25,40,128,0.0,0.46875,,,,4.866666666666666,32,15,,
kNN_geometry_same_nodes,bottleneck,25,40,121,0.0,0.46875,,,,5.2,32,15,,
grid_adjacent_same_nodes,bottleneck,25,40,62,0.0,0.15625,,,,7.8,32,5,,
random_same_edge_budget,bottleneck,25,40,238,0.8025210084033614,1.0,,,,2.125,32,32,,
support_core_plus_bottleneck,core_plus_bottleneck,25,40,181,0.0,0.5333333333333333,0.436,71.93956258418645,81.44329344043636,,45,24,500.0,218.0
kNN_same_nodes,core_plus_bottleneck,25,40,94,0.0,0.3333333333333333,,,,5.133333333333334,45,15,,
kNN_geometry_same_nodes,core_plus_bottleneck,25,40,84,0.0,0.3333333333333333,,,,5.866666666666666,45,15,,
