edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,src_edge,dst_edge,is_repair_edge,num_unique_starts,num_unique_episodes,edge_bottleneck_score,median_h,num_segments,repair_reason_edge,planner_usage_count,used_by_planner,mean_endpoint_compatibility,support_group,bottleneck_group,horizon_group,compatibility_group,planner_usage_group
755,1097,292,291,2.2794446010987555,low_compatibility_junction,0.10286807853521572,54,0.18841403872955767,0.1277906921964997,292,291,True,40,3,1.1119155647980608,6.0,90,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
756,829,221,220,2.275858078023003,low_compatibility_junction,0.11682134725019104,513,0.14639864504803074,0.09667243780663677,221,220,True,333,25,0.5931135772653867,6.0,1041,low_compatibility_junction,6.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
757,864,225,226,2.2755091301278214,low_compatibility_junction,0.08436352471998405,210,0.1236482555817015,0.18502385904665664,225,226,True,70,9,0.4615167349457846,7.0,371,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
758,1418,367,368,2.2702998251580104,low_compatibility_junction,0.09012794997644642,963,0.10908944927060468,0.16487642921123796,367,368,True,347,41,0.4287786546538285,7.0,1794,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
759,793,216,237,2.2645431994228336,low_compatibility_junction,0.08792755822194558,102,0.14547400218163903,0.1722943091988908,216,237,True,46,7,0.4161509650168041,8.0,169,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
760,1410,366,367,2.262244338443508,low_compatibility_junction,0.080160294761904,818,0.0995628564218973,0.20125029532360025,366,367,True,293,41,0.4287786546538285,7.0,1578,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
761,1110,293,314,2.2599713088939577,low_compatibility_junction,0.10152918903998309,124,0.1576134094514436,0.13125887236815295,293,314,True,54,8,0.6637254553314909,8.0,212,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
762,1230,314,293,2.253615663229411,low_compatibility_junction,0.11137184518498972,68,0.19069305372627982,0.10780438936120247,314,293,True,45,12,0.6637254553314909,8.0,149,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
763,457,125,126,2.2469934269055223,low_compatibility_junction,0.09236201534485147,907,0.11214077841896117,0.15767169193994549,125,126,True,347,39,0.6850386993644425,7.0,1718,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
764,1051,281,302,2.242920680298336,low_compatibility_junction,0.08040400547906756,27,0.18736194588840271,0.20027174501687964,281,302,True,17,5,0.934839852702454,7.0,47,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
765,170,28,29,2.2403014888229014,low_compatibility_junction,0.05781748444822274,19,0.16593818898870927,0.3146325940575298,28,29,True,9,2,0.6535390451973578,7.0,48,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
766,825,221,200,2.240073291002519,low_compatibility_junction,0.14692963997260966,436,0.18291016812016486,0.05294017378806379,221,200,True,234,19,0.5931135772653867,8.0,741,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,long_horizon,unknown,planner_used
767,749,211,213,2.237335915765045,low_compatibility_junction,0.06899210009723902,20,0.18410944278146568,0.2516183051221665,211,213,True,15,7,0.4052794306819265,10.0,28,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
768,1244,315,314,2.236931013323717,low_compatibility_junction,0.06415370473483653,1561,0.07671879145551255,0.27718389985156655,315,314,True,493,62,0.6423751221008027,7.0,2872,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
769,1311,333,332,2.2358130594526617,low_compatibility_junction,0.07799739234219745,371,0.1064164163044973,0.21014703074586297,333,332,True,177,33,1.119329782732733,6.0,777,low_compatibility_junction,1.0,True,,high_support,high_bottleneck,short_horizon,unknown,planner_used
770,662,200,221,2.2301901140472573,low_compatibility_junction,0.11909926906576689,374,0.15407564581631655,0.09236701160748476,200,221,True,158,22,0.5931135772653867,8.0,655,low_compatibility_junction,3.0,True,,high_support,low_bottleneck,long_horizon,unknown,planner_used
771,1092,291,292,2.2286632014929677,low_compatibility_junction,0.16098972585271387,34,0.29585983011819567,0.039963269187295626,291,292,True,8,2,1.1119155647980608,6.0,71,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
772,472,126,147,2.220841997960716,low_compatibility_junction,0.11177427105351605,660,0.13728101525017744,0.10694020622235703,126,147,True,324,32,0.6850386993644425,8.0,1047,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,long_horizon,unknown,not_planner_used
773,467,126,125,2.220548594055266,low_compatibility_junction,0.06914619766650411,569,0.09075268114293537,0.25084402350015794,126,125,True,247,29,0.6850386993644425,7.0,1193,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
774,1162,301,320,2.220490266981603,low_compatibility_junction,0.059600140296799296,85,0.11150048586565725,0.3036125776570205,301,320,True,36,7,0.752293892421816,8.5,122,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
775,769,213,234,2.2181936020941078,low_compatibility_junction,0.0629096083343029,5,0.2827611725211688,0.2841672895057012,213,234,True,9,2,0.4052794306819265,5.5,24,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
776,325,66,87,2.216462762903457,low_compatibility_junction,0.05844943751307095,306,0.08553797301045164,0.31068095850186783,66,87,True,128,27,0.9820359200257924,8.0,498,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,long_horizon,unknown,not_planner_used
777,675,202,224,2.209703288881471,low_compatibility_junction,0.06815522288282712,6,0.2770511715537179,0.2558652199648428,202,224,True,4,2,0.6191565157353949,10.0,6,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
778,827,221,202,2.209702653113069,low_compatibility_junction,0.06671759759237461,271,0.09747089057363742,0.2633287698961858,221,202,True,118,21,0.5931135772653867,8.0,439,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,long_horizon,unknown,not_planner_used
779,1099,292,311,2.20812542890562,low_compatibility_junction,0.08105092653288291,13,0.23581258928930504,0.19769723580716567,292,311,True,13,2,1.1119155647980608,7.0,31,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
780,164,28,6,2.208049410462396,low_compatibility_junction,0.06056691316718405,11,0.20600476419361646,0.2977984798505893,28,6,True,10,5,0.4942256235210543,10.0,16,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
781,1235,314,313,2.2035262952568604,low_compatibility_junction,0.08770545332177487,1602,0.10220779437608442,0.1730613598014564,314,313,True,505,62,1.0310349539355537,7.0,2886,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
