segment_source,segment_edge_id,planner_edge_id,src,dst,num_initiation_samples,min_initiation_distance,median_initiation_distance,distance_scale,state_conditioned_risk_score,state_conditioned_risk_penalty,episode_id,replan_index,current_cluster
bank,226,226,40,41,128,0.8718186020851135,12.089632987976074,2.2857420444488525,0.3171062575963496,0.1585531287981748,0,4,40
bank,227,227,40,60,128,4.654642105102539,18.319534301757812,2.2857420444488525,0.8694998875142774,0.4347499437571387,0,4,40
bank,228,228,40,61,128,0.49280261993408203,18.48722267150879,2.2857420444488525,0.1939411529370949,0.09697057646854745,0,4,40
graph,102,102,41,81,5,3.8297290802001953,8.191908836364746,3.622559905052185,0.6525687977215282,0.3262843988607641,0,5,41
bank,229,229,41,20,128,2.68139386177063,16.4194278717041,3.622559905052185,0.5229782083506851,0.26148910417534255,0,5,41
bank,230,230,41,21,128,7.373620986938477,24.6285400390625,3.622559905052185,0.8693812465757873,0.43469062328789365,0,5,41
bank,231,231,41,40,128,0.7031206488609314,16.06033706665039,3.622559905052185,0.17642031316381057,0.08821015658190529,0,5,41
bank,232,232,41,42,17,25.737295150756836,28.846485137939453,3.622559905052185,0.9991787852335675,0.49958939261678376,0,5,41
bank,233,233,41,60,68,3.415390729904175,16.9186954498291,3.622559905052185,0.6104688285074085,0.30523441425370423,0,5,41
bank,234,234,41,61,128,0.5074007511138916,14.661249160766602,3.622559905052185,0.13069992635699867,0.06534996317849934,0,5,41
bank,235,235,41,81,5,3.8297290802001953,8.191908836364746,3.622559905052185,0.6525687977215282,0.3262843988607641,0,5,41
graph,102,102,41,81,5,4.504678249359131,8.294082641601562,3.786556839942932,0.6956723125680884,0.3478361562840442,0,6,41
bank,229,229,41,20,128,2.5607070922851562,16.784217834472656,3.786556839942932,0.4914860774157498,0.2457430387078749,0,6,41
bank,230,230,41,21,128,6.769477367401123,23.736570358276367,3.786556839942932,0.8326664151777974,0.4163332075888987,0,6,41
bank,231,231,41,40,128,0.9653507471084595,16.29336929321289,3.786556839942932,0.22503822263965223,0.11251911131982612,0,6,41
bank,232,232,41,42,17,25.263761520385742,28.770788192749023,3.786556839942932,0.998734086796974,0.499367043398487,0,6,41
bank,233,233,41,60,68,3.0684354305267334,17.028778076171875,3.786556839942932,0.5552975006032214,0.2776487503016107,0,6,41
bank,234,234,41,61,128,1.4598236083984375,13.52754020690918,3.786556839942932,0.3199085330705208,0.1599542665352604,0,6,41
bank,235,235,41,81,5,4.504678249359131,8.294082641601562,3.786556839942932,0.6956723125680884,0.3478361562840442,0,6,41
bank,313,313,61,40,95,0.7886170148849487,9.379416465759277,4.678206443786621,0.15513000255758713,0.07756500127879357,0,7,61
bank,314,314,61,41,128,0.09150417894124985,13.983572006225586,4.678206443786621,0.019369621758934974,0.009684810879467487,0,7,61
bank,315,315,61,42,27,24.509708404541016,24.871110916137695,4.678206443786621,0.9946951034888811,0.49734755174444056,0,7,61
bank,316,316,61,60,127,4.678206443786621,21.314945220947266,4.678206443786621,0.6321205588285577,0.31606027941427883,0,7,61
bank,317,317,61,80,128,4.678206443786621,22.02657699584961,4.678206443786621,0.6321205588285577,0.31606027941427883,0,7,61
bank,318,318,61,81,128,2.224841594696045,13.238996505737305,4.678206443786621,0.3784728983136053,0.18923644915680266,0,7,61
bank,319,319,61,101,3,18.905302047729492,21.874618530273438,4.678206443786621,0.9824226331038861,0.49121131655194306,0,7,61
bank,111,111,21,0,128,1.1072847843170166,14.969036102294922,1.1072847843170166,0.6321205588285577,0.31606027941427883,1,0,21
