method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,graph_variant
support_shortest_path,66,327,7,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,67,401,377,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,68,62,509,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,69,436,343,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,70,509,385,True,3,2,18.991217414927696,18.991217414927696,18.823529411764707,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.4411764705882353,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,509 361 217 385,5783 4317 2684,base
support_shortest_path,71,142,473,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,72,252,244,True,3,2,20.3618073195658,20.3618073195658,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,252 371 316 244,3200 4404 3884,base
support_shortest_path,73,372,480,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,74,62,505,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,75,287,188,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,76,366,117,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,77,455,356,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,78,62,241,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,79,62,467,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,80,352,335,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,81,115,94,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,82,327,288,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,83,352,37,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,84,62,293,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,85,161,194,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,86,327,98,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,87,352,185,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,88,391,448,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,89,117,197,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,90,494,172,True,5,4,19.719024918626538,19.719024918626538,37.05882352941177,0.0,0.0,0.0,0.0,0.0,1.0,0.07352941176470588,0.0,0.22058823529411764,0.25,0.75,0.75,0.0,1.0,1.0,1.0,0.0,494 474 163 410 164 172,5637 5409 1895 4880 1916,base
support_shortest_path,91,152,246,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,92,7,349,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,93,478,261,True,2,1,16.540464076323993,16.540464076323993,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,478 113 261,5445 1184,base
support_shortest_path,94,436,332,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
