method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_low_proxy_edge_fraction,mean_low_support_lcb_edge_fraction,mean_high_ood_edge_fraction,mean_high_incompat_edge_fraction,mean_bottleneck_edge_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,planner_method,risk_weight,ood_weight,incompat_weight,uncertified_weight,min_proxy_score,min_heldout_support_lcb,high_ood_threshold,high_incompat_threshold,sweep_id,coverage_cost_ratio,risk_cleanliness_score,coverage_risk_score,is_pareto
floor_proxy_penalized_s0149,500,276,0.552,6.952898550724638,116.4050963726946,56.94514012881836,0.36546617398491665,0.2582421626064757,0.18051067693125597,0.08530583488782399,0.652524377627372,0.3876984604756081,0.31531204765652815,0.24921408394235536,0.03655280073461892,0.03655280073461892,0.0,0.0,0.2586252131706677,0.1390205955660501,0.5347051029778304,0.0046390373831485315,0.0025607486354979896,120,450,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.05,0.05,0.5,0.5,149,0.009693540111610825,0.600910846013279,0.33170278699933003,False
floor_proxy_penalized_s0150,500,272,0.544,6.610294117647059,112.64191184502825,54.68701634036238,0.3564929878961305,0.24400962231867193,0.1726783011318306,0.06790924552881714,0.669982894370454,0.3956330227856074,0.32243800431201586,0.24999196677370353,0.09125666256662567,0.09125666256662567,0.0,0.0,0.2929625724828677,0.139416037017513,0.5417603818895331,0.004713132638464736,0.002563944155324816,120,494,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.1,0.0,0.5,0.5,150,0.00994751654788112,0.5786105302766991,0.3147641284705243,False
floor_proxy_penalized_s0151,500,272,0.544,6.6838235294117645,113.08110861340869,55.049858290926935,0.35810438467360306,0.24820467360833284,0.17394807410055507,0.07065525925749351,0.6683907499928785,0.39342343944594094,0.3216428365517937,0.24986654255235674,0.08430562877057342,0.08430562877057342,0.0,0.0,0.28790660958557635,0.13801323727522988,0.5452632545805978,0.004700489960880466,0.002557066538718973,120,490,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.1,0.01,0.5,0.5,151,0.009881950960256325,0.5823854544155017,0.31681768720203296,False
floor_proxy_penalized_s0152,500,265,0.53,6.909433962264151,114.62141706504532,56.307195931236535,0.3691243917221554,0.2719762043134597,0.18262025169282525,0.0865455700749423,0.6566774770133431,0.3840117158867915,0.30854966691107116,0.2500041674979902,0.028189634439634438,0.028189634439634438,0.0,0.0,0.25910921990467445,0.1253112838340111,0.5403883258996894,0.004822796823558596,0.002556082316486056,120,447,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.1,0.05,0.5,0.5,152,0.009412651282568688,0.6083972635655929,0.3224505496897642,False
floor_proxy_penalized_s0153,500,265,0.53,6.818867924528302,113.61915394052518,55.73560116364175,0.36645721406558646,0.2697719168945714,0.18103600888541457,0.07928552605496741,0.6628042935528495,0.3865096153348064,0.31349222595119064,0.24908536518672905,0.04866672679172679,0.04866672679172679,0.0,0.0,0.27247051139096595,0.13067279942279938,0.5547170842625387,0.004867412830062447,0.0025797287999330966,120,460,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.2,0.0,0.5,0.5,153,0.00950918244236571,0.5997995776348987,0.31789377614649633,False
floor_proxy_penalized_s0154,500,265,0.53,6.818867924528302,113.61915394052518,55.73560116364175,0.36645721406558646,0.2697719168945714,0.18103600888541457,0.07928552605496741,0.6628042935528495,0.3865096153348064,0.31349222595119064,0.24908536518672905,0.04866672679172679,0.04866672679172679,0.0,0.0,0.27247051139096595,0.13067279942279938,0.5547170842625387,0.004867412830062447,0.0025797287999330966,120,460,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.2,0.01,0.5,0.5,154,0.00950918244236571,0.5997995776348987,0.31789377614649633,False
floor_proxy_penalized_s0155,500,265,0.53,6.935849056603773,114.81111628941713,56.47747115156193,0.3702387401689882,0.27646432986835806,0.18256737849812868,0.08530993430724138,0.6596890461718983,0.3828155915920017,0.30710449667125805,0.2503020211710726,0.023517917267917264,0.023517917267917264,0.0,0.0,0.25795030937076385,0.12391337618610346,0.5374797761161397,0.00483075567099686,0.002560300505628335,120,442,floor_proxy_penalized,1.0,1.0,0.0,0.0,0.2,0.05,0.5,0.5,155,0.009384272864797745,0.6107300211083404,0.32368691118742043,False
floor_proxy_penalized_s0156,500,283,0.566,6.809187279151944,115.71781349971856,55.62458845925524,0.36395536439212556,0.2571390118183435,0.17934858991170222,0.07710087505068954,0.6504313406391705,0.38957649295727803,0.31920621295536866,0.2497990654982254,0.030756782618484742,0.030756782618484742,0.0,0.0,0.26133907463694694,0.14574327366880557,0.5421662163683441,0.004564875020359162,0.002583719261523285,120,582,floor_proxy_penalized,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,156,0.01017535618109952,0.5997296941611617,0.3394470068952175,False
floor_proxy_penalized_s0157,500,283,0.566,7.0,117.59427957806697,57.02254321788906,0.3659776224408482,0.26775051147134477,0.18052459766859175,0.08061464660282912,0.6577891104611148,0.3855875577732513,0.3165498472892512,0.24846362584836768,0.02098108747044917,0.02098108747044917,0.0,0.0,0.2566618566618566,0.1394489474276708,0.5453073030200689,0.004557352945661375,0.0025794617672443387,120,507,floor_proxy_penalized,1.0,1.0,0.0,1.0,0.0,0.01,0.5,0.5,157,0.009925898917508032,0.606236643515992,0.34312994023005144,False
floor_proxy_penalized_s0158,500,276,0.552,7.028985507246377,118.18112851779533,57.405640457693224,0.3695159938938219,0.2727880932009529,0.18258943783901857,0.08579554564459613,0.6584768552587528,0.38494315313976707,0.3114978736551247,0.250211372088565,0.015495080676898858,0.015495080676898858,0.0,0.0,0.25177672832218284,0.135557523284796,0.527896103896104,0.004659686337229124,0.0025721468581504756,120,452,floor_proxy_penalized,1.0,1.0,0.0,1.0,0.0,0.05,0.5,0.5,158,0.009615779836248194,0.6105096397512187,0.3370013211426728,False
