edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input
569,388,390,0.0528927152780349,0.0445699922740459,0.2296213809853846,0.4100813003187699,9.786425590515137,0.7969074472188766,1.0,0.664557569669495,0.1185897435897435,0.2205953304040665,0.5,0.4,0.2047638065902923,False,0.7425888616027709,49,27,10.0,78,27,70,43,45,23,8,6,6,4,True,0.1025641025641025,5.0,0.1967652617896081,0.1116442266392764,False,0.0528927152780349,0.4100813003187699,0.335442430330505,0.3054110268937547,0.4961340206185567,0.2047638065902923,0.7952361934097076,0.664557569669495,False,0.2047638065902923,0.664557569669495
539,367,386,0.0017498662017618,0.0472299754619598,0.4731861630384111,0.3888352646536857,9.855926513671877,0.8486856400637376,1.0,0.6894030171428159,0.2425742574257425,0.1468584673742809,0.5,0.0,0.14514696316299341,False,0.4287786546538285,25,6,8.0,101,6,100,24,26,5,1,1,1,1,True,0.0099009900990099,1.0,0.2195234113647099,0.0873534966425311,False,0.0017498662017618,0.3888352646536857,0.31059698285718407,0.3821482327579297,0.24355670103092783,0.14514696316299341,0.8548530368370066,0.6894030171428159,False,0.14514696316299341,0.6894030171428159
370,232,210,0.3006360524426366,,,0.0,10.003782272338867,1.0,1.0,0.7559796444413216,0.2857142857142857,0.0049761941432458,0.5714285714285714,0.7142857142857143,0.12098479865536005,False,1.0962254186468878,3,2,10.0,4,2,1,1,1,1,3,2,2,1,True,0.75,,0.267938933323965,0.0737255045186756,False,0.3006360524426366,0.0,0.2440203555586784,0.2278354982443989,0.019759450171821305,0.12098479865536005,0.87901520134464,0.7559796444413216,False,0.12098479865536005,0.7559796444413216
107,46,86,0.3006360524426366,,,0.0,10.912402153015137,1.0,1.0,0.8551558194335472,0.2083333333333333,0.0468629096742472,0.6666666666666666,0.6,0.10787308476793969,False,1.1664980998843535,3,2,10.0,4,2,1,1,1,1,3,2,2,1,True,0.75,,0.5654674583006419,0.0602584633344579,False,0.3006360524426366,0.0,0.14484418056645276,0.21630066547452667,0.019759450171821305,0.10787308476793969,0.8921269152320603,0.8551558194335472,False,0.10787308476793969,0.8551558194335472
454,301,341,0.230719932208837,,,0.0,9.466846466064451,1.0,1.0,0.6973729150320674,0.25,0.0072756669361358,0.5,0.8333333333333334,0.1277768992309134,False,0.752293892421816,4,3,10.0,5,3,2,2,2,2,3,2,2,1,True,0.6,,0.0921187450962022,0.0482782480739416,False,0.230719932208837,0.0,0.30262708496793256,0.20707312192240038,0.06013745704467354,0.1277768992309134,0.8722231007690866,0.6973729150320674,False,0.1277768992309134,0.6973729150320674
179,146,124,0.230719932208837,,,0.0,11.221574783325195,1.0,1.0,0.888902119221326,0.25,0.0160639592119234,0.5,0.6666666666666666,0.10729060046538495,False,1.2918859947622392,4,3,10.0,5,3,2,2,2,2,3,2,2,1,True,0.6,,0.6667063576639778,0.0300041568825945,False,0.230719932208837,0.0,0.111097880778674,0.23543574814051507,0.06013745704467354,0.10729060046538495,0.892709399534615,0.888902119221326,False,0.10729060046538495,0.888902119221326
135,81,121,0.0614903152761605,,,0.0,11.151318550109863,1.0,1.0,0.881233627008199,0.0,0.6,1.0,0.0,0.07787081419029036,False,0.6495529827524277,3,3,10.0,3,3,2,2,2,2,1,1,1,1,True,0.3333333333333333,,0.6437008810245967,-0.0035272365903556,False,0.0614903152761605,0.0,0.11876637299180104,0.3872983346207417,0.04166666666666667,0.07787081419029036,0.9221291858097096,0.881233627008199,False,0.07787081419029036,0.881233627008199
68,27,5,0.0714776888580276,,,0.0,9.976648330688477,1.0,1.0,0.7530179653029068,0.3,0.0283504243281471,0.6,0.625,0.08871397165157245,False,1.2483050882681392,5,2,9.5,8,2,6,3,3,1,2,2,1,1,True,0.25,,0.2590538959087202,-0.0138756785542649,False,0.0714776888580276,0.0,0.24698203469709323,0.25222588034057586,0.05326460481099657,0.08871397165157245,0.9112860283484275,0.7530179653029068,False,0.08871397165157245,0.7530179653029068
79,29,27,0.0822171657090155,,,0.0,10.371175765991213,1.0,1.0,0.7960807716479494,0.183673469387755,0.1352205999019791,0.5714285714285714,0.4,0.09986526098094246,False,1.2483050882681392,6,5,10.0,7,5,5,4,4,3,2,2,2,2,True,0.2857142857142857,,0.3882423149438482,-0.0148318039522153,False,0.0822171657090155,0.0,0.20391922835205056,0.2863587472089415,0.1301546391752577,0.09986526098094246,0.9001347390190575,0.7960807716479494,False,0.09986526098094246,0.7960807716479494
254,208,226,0.0300525858717302,,,0.0,10.142342567443848,1.0,1.0,0.7711035486905642,0.1666666666666666,0.2385657820440429,0.4,0.4285714285714285,0.07258533316331038,False,0.901984607927955,4,3,10.0,6,3,5,3,4,2,1,1,1,1,True,0.1666666666666666,,0.3133106460716923,-0.0245660756492933,False,0.0300525858717302,0.0,0.2288964513094358,0.3444926953106874,0.06013745704467354,0.07258533316331038,0.9274146668366896,0.7711035486905642,False,0.07258533316331038,0.7711035486905642
256,208,229,0.0,,,0.0,9.359795570373535,1.0,1.0,0.6856882726531058,0.3158953722334004,0.0800450164558048,0.4285714285714285,0.5714285714285714,0.08139882937854724,False,0.901984607927955,68,14,8.0,213,14,213,68,54,14,0,0,0,0,False,0.0,,0.0570648179593174,-0.02897478839639,False,0.0,0.0,0.31431172734689417,0.31461897141193074,0.40807560137457044,0.08139882937854724,0.9186011706214527,0.6856882726531058,False,0.08139882937854724,0.6856882726531058
