method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,num_repair_edges,repair_edge_fraction,repair_certified_fraction,mean_repair_edge_proxy_score,min_repair_edge_proxy_score
support_shortest_path,91,152,246,True,4,3,14.948300362180998,14.948300362180998,29.285714285714285,0.408279682985739,0.30677043076767,0.4853092272758199,0.3710451126615178,0.5920128374859334,0.3152081554503092,0.023809523809523798,0.0,0.023809523809523798,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.02622812645508568,152 361 51 117 246,2146 2219 2136 2172,4,1.0,1.0,0.408279682985739,0.30677043076767
support_shortest_path,92,7,349,True,4,3,15.25577445324372,15.25577445324372,30.0,0.2035100668654195,0.057877935570411036,0.17061428934601808,0.0,0.35891056958686457,0.48431080635229384,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.0008484806001467162,7 77 205 259 349,43 338 851 2111,1,0.25,1.0,0.3417300507166169,0.3417300507166169
support_shortest_path,93,478,261,True,4,3,14.585503653179677,14.585503653179677,30.0,0.20102346334222157,0.05305899673734195,0.0875866375210212,0.0,0.6394340169579327,0.5082891393351497,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.0007047173120004184,478 74 121 481 261,2053 322 473 1806,1,0.25,1.0,0.16388304637541382,0.16388304637541382
support_shortest_path,94,436,332,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,95,440,117,True,3,2,10.562948828843115,10.562948828843115,20.0,0.09930058212582722,0.036741750671796206,0.09999610711384287,0.0,0.2792892558965697,0.6957821431858154,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.00034691446839400325,440 263 405 117,1709 1088 1621,0,0.0,,,
support_shortest_path,96,230,129,True,3,2,10.351615044897493,10.351615044897493,16.470588235294116,0.3983929229614527,0.35514584659385773,0.14188885139581806,0.065326253498713,0.8049640029787374,0.16113173622276078,0.1764705882352941,0.0,0.6823529411764706,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0621379625586894,230 22 179 129,914 138 783,0,0.0,,,
support_shortest_path,97,287,349,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,98,287,249,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,99,390,467,True,3,2,11.230463043341832,11.230463043341832,20.0,0.13518320046919313,0.08341630987532739,0.09446139119268389,0.0,0.185109693267787,0.4649503973037638,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0017165845246875906,390 294 117 467,1566 1187 2213,1,0.3333333333333333,1.0,0.23430557325082996,0.23430557325082996
calibrated_compat_penalized,0,229,404,True,4,3,75.31987372173734,12.3354861483583,30.0,0.22951704324193783,0.07568421320218989,0.1857840442173682,0.0455860626446362,0.30477980830541745,0.44505406788867197,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.001644737151971712,229 157 402 316 404,908 652 1593 1280,0,0.0,,,
calibrated_compat_penalized,1,7,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
calibrated_compat_penalized,2,401,477,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
