method,query_id,src,dst,reachable,path_length,planning_path_cost,base_path_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,uncertified_edge_fraction,low_proxy_edge_fraction,low_support_lcb_edge_fraction,high_ood_edge_fraction,high_incompat_edge_fraction,bottleneck_edge_fraction,proxy_path_success,path_nodes,path_edge_ids
support_shortest_path,98,287,249,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,99,390,467,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,0,229,404,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,1,7,380,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,2,401,477,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,3,315,106,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,4,428,224,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,5,327,27,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,6,55,461,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,7,64,67,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,8,440,380,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,9,0,470,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,10,480,240,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,11,67,207,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,12,152,177,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,13,5,53,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,14,214,96,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,15,338,321,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,16,352,59,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,17,475,393,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,18,84,119,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,19,385,369,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,20,402,500,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,21,389,98,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,22,372,506,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,23,311,203,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,24,421,192,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,25,327,98,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,26,327,507,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,27,390,300,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,28,39,36,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,29,147,395,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,30,184,40,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,31,39,208,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,32,432,48,False,0,,,,,,,,,,,,,,,,,0.0,,
certified_only,33,97,400,False,0,,,,,,,,,,,,,,,,,0.0,,
