cluster,count,density,crossing,betweenness,removal_impact,normalized_crossing,normalized_betweenness,normalized_removal_impact,normalized_density,bottleneck_score
77,146.0,0.00073,142.0,0.001003612285670801,1.175619461023633e-05,0.05073240443015362,0.012631341991341203,0.0012128197855750715,0.0369713851608002,0.05348515065882983
78,165.0,0.000825,147.0,0.0007742885735357379,0.0,0.05251875669882101,0.009745101681154316,0.0,0.04178272980501393,0.049729039438471144
79,85.0,0.000425,70.0,1.0932551926997842e-06,0.0,0.025008931761343337,1.3759576701047123e-05,0.0,0.021524436566219295,0.018565360368178595
80,251.0,0.001255,173.0,0.0011789225193404908,0.0,0.06180778849589139,0.014837775240196575,0.0,0.06356039503671816,0.05757744522507252
81,1008.0,0.00504,239.0,0.01112161760486072,0.0002021215596329783,0.08538763844230082,0.13997532460458195,0.02085173261768928,0.2552544948088124,0.16963834722192833
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1354.0,0.00677,1139.0,0.012961177706395637,7.696557410842145e-05,0.4069310468024294,0.16312780399116417,0.007940100872910057,0.34287161306659913,0.4751374677465239
87,1384.0,0.00692,1171.0,0.048232296129296796,0.00969327409567449,0.4183637013219007,0.6070458045754028,1.0,0.35046847303114714,1.9202689639879593
88,7.0,3.5e-05,3.0,0.0,0.0,0.0010718113612004287,0.0,0.0,0.0017726006583945301,0.0005400311636820697
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,264.0,0.00132,208.0,0.0031529253487986436,0.0,0.07431225437656305,0.03968233442581412,0.0,0.06685236768802229,0.09393887849597049
101,862.0,0.00431,273.0,0.012183946007957004,0.00011877457404978985,0.09753483386923902,0.15334566049844328,0.012253297789525174,0.21828310964801215,0.1976488592628038
102,22.0,0.00011,20.0,0.0003582948606756711,0.0,0.007145409074669525,0.004509455477529754,0.0,0.0055710306406685246,0.009983555359998723
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,18.0,9e-05,14.0,0.0,0.0,0.005001786352268668,0.0,0.0,0.004558115978728793,0.00363435155865003
106,1400.0,0.007,1084.0,0.031373949878095976,0.0002823805866285427,0.38728117184708827,0.39486871193944145,0.029131600307738308,0.35452013167890606,0.7049254445905963
107,1465.0,0.007325,1226.0,0.04710497996631222,0.007084067395498039,0.43801357627724186,0.5928575406508464,0.7308229732881713,0.3709799949354267,1.6504000917356314
108,1.0,5e-06,1.0,0.0,0.0,0.0003572704537334762,0.0,0.0,0.00025322866548493293,0.00028130185408799637
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
